Date,Rep,Day,Exp_Rep,Time_Chl1,Chl1,Temp1,pH1,Time_Nh41,Nh41,,,
Jan_22_2-18,6,1,1,7:46,-0.287,21.2,8.2,8:01,11.54,,,
Jan_22_2-18,14,1,1,7:55,1.854,20.8,8.1,8:11,16.2,,,
Jan_22_2-18,17,1,1,7:58,106.3,20.9,8.1,8:16,2.22,,,
Jan_22_2-18,25,1,1,8:01,99.8,20.7,8.1,8:19,0.48,,,
Jan_22_2-18,33,1,1,8:03,114.1,21,8.1,8:23,1.12,,,
Jan_22_2-18,15,1,1,8:11,-0.222,20.3,8.1,8:33,17.65,,,
Jan_22_2-18,22,1,1,8:13,-0.271,20.9,8.3,8:41,3.65,,,
Jan_22_2-18,26,1,1,8:17,105,20.6,8.2,8:45,0.47,,,
Jan_22_2-18,34,1,1,8:20,95.68,20.8,8.1,8:48,1.35,,,
Jan_22_2-18,1,1,1,8:23,103.5,21.2,8,8:58,4.54,,,
Jan_22_2-18,23,1,1,8:34,-0.29,20.8,8.3,9:04,3.55,,,
Jan_22_2-18,30,1,1,8:42,-0.28,20.8,8.4,9:07,0.4,,,
Jan_22_2-18,35,1,1,8:46,96.39,21,8.2,9:11,1.23,,,
Jan_22_2-18,2,1,1,8:49,105.7,21.3,8,9:21,4.49,,,
Jan_22_2-18,9,1,1,8:56,106.5,21.1,8,9:31,9.79,,,
Jan_22_2-18,31,1,1,9:05,-0.337,20.7,8.4,9:35,0.42,,,
Jan_22_2-18,38,1,1,9:08,-0.265,20.5,8.4,9:38,1.73,,,
Jan_22_2-18,3,1,1,9:12,102,20.8,8.2,9:44,4.75,,,
Jan_22_2-18,10,1,1,9:22,101.8,20.7,8.1,9:58,10.44,,,
Jan_22_2-18,18,1,1,9:32,100.8,20.8,8.2,10:03,2.42,,,
Jan_22_2-18,39,1,1,9:36,-0.306,21.1,8.5,10:06,1.83,,,
Jan_22_2-18,7,1,1,9:41,-0.296,21.1,8.3,10:14,7.78,,,
Jan_22_2-18,11,1,1,9:50,118.1,21.3,8.2,10:24,11.71,,,
Jan_22_2-18,19,1,1,9:59,99.29,21,8.2,10:34,2.53,,,
Jan_22_2-18,27,1,1,10:03,100.9,21.1,8.2,10:37,0.51,,,
Jan_22_2-18,8,1,1,10:14,-0.242,21.1,8.2,10:47,7.58,,,
Jan_22_2-18,16,1,1,10:18,-0.244,21.2,8,10:57,16.81,,,
Jan_22_2-18,20,1,1,10:25,95.77,20.7,8.1,11:01,2.37,,,
Jan_22_2-18,28,1,1,10:35,93.88,20.8,8.3,11:04,0.5,,,
Jan_22_2-18,36,1,1,10:38,97.54,21,8.3,11:08,1.25,,,
Jan_22_2-18,12,1,1,10:58,102.5,20.8,8.2,11:18,10.17,,,
Jan_22_2-18,24,1,1,11:02,-0.295,21,8.3,11:22,3.551,,,
Jan_22_2-18,29,1,1,11:05,105.3,21.2,8.3,11:29,0.51,,,
Jan_22_2-18,37,1,1,11:09,102.4,21.1,8.3,11:33,1.21,,,
Jan_22_2-18,4,1,1,11:13,114.9,21.4,8.3,11:43,4.98,,,
Jan_22_2-18,21,1,1,11:23,103.3,21.3,8.3,11:49,2.33,,,
Jan_22_2-18,32,1,1,11:28,-0.326,21.3,8.4,11:53,0.39,,,
Jan_22_2-18,40,1,1,11:31,-0.359,21.2,8.4,11:58,1.72,,,
Jan_22_2-18,5,1,1,11:34,101.1,21.3,8.2,12:08,5.32,,,
Jan_22_2-18,13,1,1,11:43,109.2,21,8.2,12:18,9.77,,,
Jan_22_2-18,6,1,1,13:47,-0.218,22.1,8.2,13:59,13.66,,,
Jan_22_2-18,14,1,1,13:49,1.265,21.8,8.1,14:09,17.37,,,
Jan_22_2-18,17,1,1,13:50,97.76,21.9,8.2,14:16,2.43,,,
Jan_22_2-18,25,1,1,13:53,93.62,21.9,8.2,14:19,0.55,,,
Jan_22_2-18,33,1,1,13:55,101.1,22.0,8.2,14:23,1.29,,,
Jan_22_2-18,15,1,1,14:11,-0.217,21.6,8.2,14:36,18.65,,,
Jan_22_2-18,22,1,1,14:15,-0.331,21.6,8.3,14:41,4.01,,,
Jan_22_2-18,26,1,1,14:20,93.67,21.5,8.3,14:48,0.57,,,
Jan_22_2-18,34,1,1,14:25,80.99,21.5,8.3,14:53,1.44,,,
Jan_22_2-18,1,1,1,14:28,93.06,21.5,8.2,14:59,4.53,,,
Jan_22_2-18,23,1,1,14:36,-0.168,21.2,8.3,15:03,3.8,,,
Jan_22_2-18,30,1,1,14:42,-0.217,21.0,8.4,15:09,0.44,,,
Jan_22_2-18,35,1,1,14:49,50.52,21.1,8.3,15:13,1.3,,,
Jan_22_2-18,2,1,1,14:54,97.2,21.3,8.2,15:18,4.445,,,
Jan_22_2-18,9,1,1,14:59,103.6,21.6,8.2,15:27,9.48,,,
Jan_22_2-18,31,1,1,15:04,-0.174,21.2,83,15:32,0.4,,,
Jan_22_2-18,38,1,1,15:10,-0.196,21.4,8.3,15:39,1.76,,,
Jan_22_2-18,3,1,1,15:14,96.03,21.5,8.3,15:48,5.03,,,
Jan_22_2-18,10,1,1,15:21,100.5,21.4,8.2,15:55,10.8,,,
Jan_22_2-18,18,1,1,15:29,98.74,21.6,8.3,16:00,2.48,,,
Jan_22_2-18,39,1,1,15:34,-0.064,21.4,8.4,16:06,1.82,,,
Jan_22_2-18,7,1,1,15:41,-0.286,21.5,8.3,16:12,7.61,,,
Jan_22_2-18,11,1,1,15:50,106.9,21.6,8.3,16:23,11.23,,,
Jan_22_2-18,19,1,1,16:05,94.7,21.6,8.3,16:35,2.58,,,
Jan_22_2-18,27,1,1,16:07,92.71,21.8,8.3,16:38,0.5,,,
Jan_22_2-18,8,1,1,16:10,-0.18,21.9,8.2,16:48,7.56,,,
Jan_22_2-18,16,1,1,16:13,-0.284,22.0,8.1,16:58,16.6,,,
Jan_22_2-18,20,1,1,16:24,101.8,21.7,8.3,16:05,2.3,,,
Jan_22_2-18,28,1,1,16:36,102.6,21.5,8.4,16:07,0.53,,,
Jan_22_2-18,36,1,1,16:38,101.2,21.7,8.3,17:11,1.24,,,
Jan_22_2-18,12,1,1,17:00,104.8,21.4,8.3,17:21,10.41,,,
Jan_22_2-18,24,1,1,17:02,-0.079,21.8,8.3,17:29,3.69,,,
Jan_22_2-18,29,1,1,17:05,106.9,21.6,8.3,17:33,0.52,,,
Jan_22_2-18,37,1,1,17:07,115.8,22.1,8.4,17:35,1.26,,,
Jan_22_2-18,4,1,1,17:12,116.4,22.2,8.3,17:45,5.18,,,
Jan_22_2-18,21,1,1,17:22,92.31,21.8,8.4,17:48,2.34,,,
Jan_22_2-18,32,1,1,17:29,-0.153,21.9,8.4,17:56,0.4,,,
Jan_22_2-18,40,1,1,17:33,-0.275,22.0,8.4,18:01,1.79,,,
Jan_22_2-18,5,1,1,17:36,106.7,22.0,8.3,18:06,5.1,,,
Jan_22_2-18,13,1,1,17:46,110.5,21.9,8.3,18:16,9.77,,,
Jan_23_2018,6,2,1,7:44,-0.19,21.6,8.3,8:19,16.02,,,
Jan_23_2018,14,2,1,7:47,1.33,21.4,8.3,8:11,18.85,,,
Jan_23_2018,17,2,1,7:50,107.9,21.4,8.3,8:21,2.67,,,
Jan_23_2018,25,2,1,7:52,99.03,21.4,8.3,8:26,0.59,,,
Jan_23_2018,33,2,1,7:55,107.2,21.5,8.3,8:29,1.44,,,
Jan_23_2018,15,2,1,8:12,-0.074,21.3,8.3,8:39,20.2,,,
Jan_23_2018,22,2,1,8:15,-0.293,21.4,8.4,8:45,4.46,,,
Jan_23_2018,26,2,1,8:22,89.93,21.1,8.4,8:51,0.56,,,
Jan_23_2018,34,2,1,8:26,82.72,21,8.4,8:53,1.51,,,
Jan_23_2018,1,2,1,8:30,105.4,21.2,8.3,8:57,4.67,,,
Jan_23_2018,23,2,1,8:46,-0.241,21.2,8.4,9:02,3.97,,,
Jan_23_2018,30,2,1,8:49,-0.191,21.4,8.4,9:06,0.48,,,
Jan_23_2018,35,2,1,8:52,92.08,21.5,8.4,9:10,1.33,,,
Jan_23_2018,2,2,1,8:54,105,21.4,8.3,9:20,4.81,,,
Jan_23_2018,9,2,1,8:58,108.4,21.4,8.3,9:30,10.78,,,
Jan_23_2018,31,2,1,9:07,-0.174,21.2,8.4,9:37,0.48,,,
Jan_23_2018,38,2,1,9:11,-0.239,21.2,8.3,9:43,1.77,,,
Jan_23_2018,3,2,1,9:12,99.73,21.5,8.3,9:46,5.01,,,
Jan_23_2018,10,2,1,9:21,107.7,21.5,8.3,9:57,10.97,,,
Jan_23_2018,18,2,1,9:31,95.54,21.2,8.4,10:02,2.73,,,
Jan_23_2018,39,2,1,9:44,-0.195,21.1,8.4,10:11,1.91,,,
Jan_23_2018,7,2,1,9:45,-0.29,21.4,8.4,10:21,8.5,,,
