date,treat,date1,rep ,chl,ph,no3,nh4,temp
6/12/2017,0.5,1,1,43.38,8.1,0.77,2.81,23
6/12/2017,0.5,1,2,48.67,8.1,0.64,2.75,24.1
6/12/2017,0.5,1,3,46.19,8.1,0.69,2.78,24.1
6/12/2017,0.5,1,4,47.6,7.9,0.66,2.76,23.2
6/12/2017,0.5,1,5,42.49,8.1,0.65,2.72,23.6
6/12/2017,3,1,1,43.53,8.1,0.66,3.4,24.3
6/12/2017,3,1,2,47.9,8,0.66,3.44,22.9
6/12/2017,3,1,3,43.77,7.8,0.67,3.44,22.9
6/12/2017,3,1,4,46.08,8.1,0.67,3.42,24.3
6/12/2017,3,1,5,46.91,8.1,0.66,3.33,24.1
6/12/2017,9,1,1,38.14,8,0.7,5.65,23.6
6/12/2017,9,1,2,47.9,8,0.69,5.76,22.7
6/12/2017,9,1,3,52.31,8.1,0.69,5.54,24.2
6/12/2017,9,1,4,47.08,8,0.68,5.75,24.3
6/12/2017,9,1,5,45.67,8.1,0.69,5.71,24.3
6/12/2017,27,1,1,47.85,7.9,0.76,13.01,24.3
6/12/2017,27,1,2,38.81,7.8,0.76,12.69,22.9
6/12/2017,27,1,3,48.01,7.8,0.77,12.88,23
6/12/2017,27,1,4,48.73,7.8,0.78,13.22,22.5
6/12/2017,27,1,5,51.19,7.8,0.78,12.77,24.2
6/12/2017,54,1,1,46.53,7.4,0.87,23.28,23.4
6/12/2017,54,1,2,47.6,7.5,0.86,23.05,24
6/12/2017,54,1,3,52.63,7.5,0.84,22.94,22.7
6/12/2017,54,1,4,44.31,7.5,0.84,22,23.2
6/12/2017,54,1,5,43.13,7.7,0.91,25.36,23.9
6/12/2017,108,1,1,48.16,7.3,1.43,46.16,22.8
6/12/2017,108,1,2,42.66,7.1,1.13,45.08,22.5
6/12/2017,108,1,3,47.29,7.2,1.06,51.35,22.4
6/12/2017,108,1,4,46.37,7.2,1.05,43.64,23.8
6/12/2017,108,1,5,45,7.3,1.03,47.17,23.3
6/13/2017,0.5,2,1,46.17,8.2,0.72,3.56,23.7
6/13/2017,0.5,2,2,49.51,8.3,0.68,1.83,23.6
