Date,Blank Chl,Entered By,Checked By
January 21,,Ofure,Lakhdeep
January 22,0.431,Ofure,Lakhdeep
January 23,0.184,Ofure,Lakhdeep
January 24,0.194,Ofure,Lakhdeep
January 25,0.753,Ofure,Lakhdeep
January 26,0.414,Ofure,Lakhdeep
January 27,0.257,Ofure,Lakhdeep
January 28,0.448,Ofure,Lakhdeep
January 29,,Ofure,Lakhdeep
January 30,0.239,Ofure,Lakhdeep
January 31,0.568,Ofure,Lakhdeep
February 1,0.236,Ofure,Lakhdeep
February 2,,Ofure,Lakhdeep
February 3,0.612,Ofure,Lakhdeep
February 4,2.103,Ofure,Lakhdeep
February 5,0.435,Ofure,Lakhdeep
February 6,0.475,Ofure,Lakhdeep
February 7,0.193,Ofure,Lakhdeep
February 8,-1.054,Ofure,Lakhdeep
February 9,-3.324,Ofure,Lakhdeep
February 10,1.588,Ofure,Lakhdeep
February 11,,Ofure,Lakhdeep
February 12,,Ofure,Lakhdeep
February 13,-0.596,Ofure,Lakhdeep
February 14,-0.357,Ofure,Lakhdeep
February 15,-0.451,Ofure,Lakhdeep
February 16,-0.324,Ofure,Lakhdeep
February 17,-0.402,Ofure,Lakhdeep
February 18,0.189,Ofure,Lakhdeep
February 19,-0.326,Ofure,Lakhdeep
February 20,-0.146,Ofure,Lakhdeep
February 21,0.012,Ofure,Lakhdeep
February 22,-0.014,Ofure,Lakhdeep
February 23,-0.04,Ofure,Lakhdeep
February 24,0.198,Ofure,Lakhdeep
February 25,0.603,Ofure,Lakhdeep
February 26,0.597,Ofure,Lakhdeep
February 27,0.334,Ofure,Lakhdeep
February 28,0.375,Ofure,Lakhdeep
March 1,0.477,Ofure,Lakhdeep
March 2,-0.756,Ofure,Lakhdeep
March 3,-0.654,Ofure,Lakhdeep
March 4,-0.592,Ofure,Lakhdeep
March 5,-0.488,Ofure,Lakhdeep
March 6,-0.396,Ofure,Lakhdeep
March 7,-0.309,Ofure,Lakhdeep
March 8,-0.322,Ofure,Lakhdeep
March 9,-0.419,Ofure,Lakhdeep
March 10,-0.095,Ofure,Lakhdeep
March 11,0.081,Ofure,Lakhdeep
March 12,0.086,Ofure,Lakhdeep
March 13,0.046,Ofure,Lakhdeep
March 14,-0.188,Ofure,Lakhdeep
March 15,0.506,Ofure,Lakhdeep
