"","Date","Site","Sample_Type","Treatment","Tank_.","Tank_Name","Salinity","Dispersal","richness1","shannon1","simp.even1","J1"
"CSI001","11-Jun-15","CSI_Dispersal (CSI)","W","A",1,"A1_2015-June11",13,0,924,4.87848090190134,0.976187325,0.714520477656922
"CSI002","11-Jun-15","CSI_Dispersal (CSI)","W","A",2,"A2_2015-June11",0,0,726,3.95098289723748,0.935328685,0.599890665516622
"CSI003","11-Jun-15","CSI_Dispersal (CSI)","W","A",3,"A3_2015-June11",0,1,743,4.03876541748055,0.926966975,0.611068543798885
"CSI004","11-Jun-15","CSI_Dispersal (CSI)","W","A",4,"A4_2015-June11",0,3,746,4.04439249766592,0.9429988,0.611546579499489
"CSI005","11-Jun-15","CSI_Dispersal (CSI)","W","A",5,"A5_2015-June11",5,2,555,3.79569574921515,0.95702838,0.600854329028037
"CSI006","11-Jun-15","CSI_Dispersal (CSI)","W","A",6,"A6_2015-June11",5,3,709,4.04350245950346,0.945932855,0.616158004818528
"CSI007","11-Jun-15","CSI_Dispersal (CSI)","W","A",7,"A7_2015-June11",9,2,916,4.38412224078604,0.964508445,0.64293460358528
"CSI008","11-Jun-15","CSI_Dispersal (CSI)","W","A",8,"A8_2015-June11",9,3,737,3.90467804044024,0.943684885,0.591507638759929
"CSI009","11-Jun-15","CSI_Dispersal (CSI)","W","A",9,"A9_2015-June11",13,2,880,4.46885271339647,0.96232181,0.659240967348366
"CSI010","11-Jun-15","CSI_Dispersal (CSI)","W","A",10,"A10_2015-June11",13,3,866,4.34158013558232,0.95823217,0.64198636528818
"CSI011","11-Jun-15","CSI_Dispersal (CSI)","W","A",11,"A11_2015-June11",0,2,626,3.97434485131624,0.95820711,0.617349824527476
"CSI012","11-Jun-15","CSI_Dispersal (CSI)","W","B",1,"B1_2015-June11",13,0,936,4.80131684975852,0.975413785,0.701890825418856
"CSI013","11-Jun-15","CSI_Dispersal (CSI)","W","B",2,"B2_2015-June11",0,0,877,4.66898503287602,0.9638724,0.689111845797065
"CSI014","11-Jun-15","CSI_Dispersal (CSI)","W","B",3,"B3_2015-June11",0,1,1032,4.68282758070037,0.9563382,0.674925854004364
"CSI015","11-Jun-15","CSI_Dispersal (CSI)","W","B",4,"B4_2015-June11",0,3,910,4.88844240201938,0.974064315,0.717585843705649
"CSI016","11-Jun-15","CSI_Dispersal (CSI)","W","B",5,"B5_2015-June11",5,2,781,4.28995051120442,0.9660317,0.644205010763097
