"","Date","Site","Sample_Type","Treatment","Tank_.","Tank_Name","Salinity","Dispersal","richness1","shannon1","simp.even1","J1"
"CSI001","11-Jun-15","CSI_Dispersal (CSI)","W","A",1,"A1_2015-June11",13,0,918,4.88899375256917,0.97654028,0.716744864738492
"CSI002","11-Jun-15","CSI_Dispersal (CSI)","W","A",2,"A2_2015-June11",0,0,727,3.96432432313244,0.935604535,0.601790394640044
"CSI003","11-Jun-15","CSI_Dispersal (CSI)","W","A",3,"A3_2015-June11",0,1,759,4.03083745091307,0.925694705,0.607906789764863
"CSI004","11-Jun-15","CSI_Dispersal (CSI)","W","A",4,"A4_2015-June11",0,3,730,4.04899148285039,0.94389301,0.614258479328065
"CSI005","11-Jun-15","CSI_Dispersal (CSI)","W","A",5,"A5_2015-June11",5,2,546,3.79175258796656,0.956955835,0.601790429247438
"CSI006","11-Jun-15","CSI_Dispersal (CSI)","W","A",6,"A6_2015-June11",5,3,728,4.05411461844094,0.9455801,0.615292131770538
"CSI007","11-Jun-15","CSI_Dispersal (CSI)","W","A",7,"A7_2015-June11",9,2,908,4.37439486680866,0.96379808,0.642335296045783
"CSI008","11-Jun-15","CSI_Dispersal (CSI)","W","A",8,"A8_2015-June11",9,3,710,3.86744294021155,0.94163289,0.589202934857226
"CSI009","11-Jun-15","CSI_Dispersal (CSI)","W","A",9,"A9_2015-June11",13,2,900,4.47439926066262,0.96212333,0.657875762261999
"CSI010","11-Jun-15","CSI_Dispersal (CSI)","W","A",10,"A10_2015-June11",13,3,855,4.33976168177857,0.95751712,0.642934210317893
"CSI011","11-Jun-15","CSI_Dispersal (CSI)","W","A",11,"A11_2015-June11",0,2,586,3.94982215371082,0.95712366,0.61990941200017
"CSI012","11-Jun-15","CSI_Dispersal (CSI)","W","B",1,"B1_2015-June11",13,0,922,4.79725404712507,0.97582258,0.702846990773242
"CSI013","11-Jun-15","CSI_Dispersal (CSI)","W","B",2,"B2_2015-June11",0,0,895,4.67056822862533,0.96456223,0.687282290190981
"CSI014","11-Jun-15","CSI_Dispersal (CSI)","W","B",3,"B3_2015-June11",0,1,1019,4.68105813883251,0.95664644,0.675906980642699
"CSI015","11-Jun-15","CSI_Dispersal (CSI)","W","B",4,"B4_2015-June11",0,3,924,4.89484574442516,0.974443435,0.716917333426582
