Sample_Code,Date,Site,Sample_Type,Treatment,Tank_#,Tank_Name,Salinity,Dispersal
CSI001,11-Jun-15,CSI_Dispersal (CSI),W,A,1,A1_2015-June11,13,0
CSI002,11-Jun-15,CSI_Dispersal (CSI),W,A,2,A2_2015-June11,0,0
CSI003,11-Jun-15,CSI_Dispersal (CSI),W,A,3,A3_2015-June11,0,1
CSI004,11-Jun-15,CSI_Dispersal (CSI),W,A,4,A4_2015-June11,0,3
CSI005,11-Jun-15,CSI_Dispersal (CSI),W,A,5,A5_2015-June11,5,2
CSI006,11-Jun-15,CSI_Dispersal (CSI),W,A,6,A6_2015-June11,5,3
CSI007,11-Jun-15,CSI_Dispersal (CSI),W,A,7,A7_2015-June11,9,2
CSI008,11-Jun-15,CSI_Dispersal (CSI),W,A,8,A8_2015-June11,9,3
CSI009,11-Jun-15,CSI_Dispersal (CSI),W,A,9,A9_2015-June11,13,2
CSI010,11-Jun-15,CSI_Dispersal (CSI),W,A,10,A10_2015-June11,13,3
CSI011,11-Jun-15,CSI_Dispersal (CSI),W,A,11,A11_2015-June11,0,2
CSI012,11-Jun-15,CSI_Dispersal (CSI),W,B,1,B1_2015-June11,13,0
CSI013,11-Jun-15,CSI_Dispersal (CSI),W,B,2,B2_2015-June11,0,0
CSI014,11-Jun-15,CSI_Dispersal (CSI),W,B,3,B3_2015-June11,0,1
CSI015,11-Jun-15,CSI_Dispersal (CSI),W,B,4,B4_2015-June11,0,3
CSI016,11-Jun-15,CSI_Dispersal (CSI),W,B,5,B5_2015-June11,5,2
CSI017,11-Jun-15,CSI_Dispersal (CSI),W,B,6,B6_2015-June11,5,3
CSI018,11-Jun-15,CSI_Dispersal (CSI),W,B,7,B7_2015-June11,9,2
CSI019,11-Jun-15,CSI_Dispersal (CSI),W,B,8,B8_2015-June11,9,3
CSI020,11-Jun-15,CSI_Dispersal (CSI),W,B,9,B9_2015-June11,13,2
CSI021,11-Jun-15,CSI_Dispersal (CSI),W,B,10,B10_2015-June11,13,3
CSI022,11-Jun-15,CSI_Dispersal (CSI),W,B,11,B11_2015-June11,0,2
