Site,Tank_Name,Date,Sample_Type,Replicate,Number,Salinity,Dispersal,Sample,NH4_uM,NH4_mg_L,NO3NO2_uM,NO3NO2_mg_L,PO4_uM,PO4_mg_L,ngCO2C_mL_day,Maple,Spartina,Phragmites,DryWt_Maple,DryWt_Spartina,DryWt_Phragmites
CSI_Dispersal,A1_2015-July25,25-Jul-15,W,A,1,13,0,CSI-221,0.73,0.01,0.53,0.01,0.03,0,0.19,4.005,6.95,10.04,3.2049,7.03,10.13
CSI_Dispersal,A2_2015-July25,25-Jul-15,W,A,2,0,0,CSI-222,0.75,0.01,0.53,0.01,0.03,0,110.67,3.9985,6.94,10.07,1.6626,4.91,3.62
CSI_Dispersal,A3_2015-July25,25-Jul-15,W,A,3,0,1,CSI-223,0.99,0.01,0.54,0.01,0.03,0,64.06,4.0008,6.92,10.8,1.8444,5.23,4.5
CSI_Dispersal,A4_2015-July25,25-Jul-15,W,A,4,0,3,CSI-224,1.09,0.02,0.53,0.01,0.03,0,46.72,3.9948,7,10.02,1.3355,4.3,1.77
CSI_Dispersal,A5_2015-July25,25-Jul-15,W,A,5,5,2,CSI-225,1.77,0.02,0.53,0.01,0.03,0,15.1,3.9991,6.97,10.09,1.8128,5.41,5.06
CSI_Dispersal,A6_2015-July25,25-Jul-15,W,A,6,5,3,CSI-226,1.59,0.02,0.53,0.01,0.03,0,54.99,4.0076,7.03,9.98,1.965,5.21,4.97
CSI_Dispersal,A7_2015-July25,25-Jul-15,W,A,7,9,2,CSI-227,1.73,0.02,0.53,0.01,0.03,0,155.17,3.9993,6.94,10.01,2.7233,5.8,4.81
CSI_Dispersal,A8_2015-July25,25-Jul-15,W,A,8,9,3,CSI-228,1.41,0.02,0.54,0.01,0.03,0,0,4.0001,6.96,9.95,2.61248,6.49,5.94
CSI_Dispersal,A9_2015-July25,25-Jul-15,W,A,9,13,2,CSI-229,1.04,0.01,0.53,0.01,0.03,0,3.9,3.9992,6.97,9.92,2.9271,6.14,9.13
CSI_Dispersal,A10_2015-July25,25-Jul-15,W,A,10,13,3,CSI-230,1.18,0.02,0.53,0.01,0.08,0,81.56,3.9997,6.98,9.98,1.7681,5.32,4.5
CSI_Dispersal,A11_2015-July25,25-Jul-15,W,A,11,0,2,CSI-231,1.14,0.02,0.53,0.01,0.11,0,166.85,4.0063,7.02,9.98,1.4821,5.17,4.78
CSI_Dispersal,B1_2015-July25,25-Jul-15,W,B,1,13,0,CSI-232,1.37,0.02,0.53,0.01,0.03,0,38.1,4.0066,7.07,10.07,1.9837,5.59,6.17
CSI_Dispersal,B2_2015-July25,25-Jul-15,W,B,2,0,0,CSI-233,1.2,0.02,0.53,0.01,0.03,0,60.38,3.9993,7,9.97,1.7184,4.88,4.57
CSI_Dispersal,B3_2015-July25,25-Jul-15,W,B,3,0,1,CSI-234,1.22,0.02,0.53,0.01,0.03,0,145.53,4.0072,7,10,1.7125,5.24,4.88
CSI_Dispersal,B4_2015-July25,25-Jul-15,W,B,4,0,3,CSI-235,1.24,0.02,0.53,0.01,0.03,0,70.73,4.0003,7.03,9.99,2.2989,5.28,4.82
CSI_Dispersal,B5_2015-July25,25-Jul-15,W,B,5,5,2,CSI-236,1.27,0.02,0.53,0.01,0.03,0,11.7,4.0074,7.01,9.96,2.1586,5.08,3.44
CSI_Dispersal,B6_2015-July25,25-Jul-15,W,B,6,5,3,CSI-237,1.25,0.02,0.53,0.01,0.03,0,3.96,4.0018,7.07,9.96,2.1115,5.51,5.66
CSI_Dispersal,B8_2015-July25,25-Jul-15,W,B,8,9,3,CSI-239,1.69,0.02,0.53,0.01,0.03,0,14.48,3.9973,6.99,10.06,2.2375,5.37,4.59
CSI_Dispersal,B9_2015-July25,25-Jul-15,W,B,9,13,2,CSI-240,2.18,0.03,0.53,0.01,0.03,0,30.5,4.0546,7.01,10,2.3612,5.6,7.16
CSI_Dispersal,B10_2015-July25,25-Jul-15,W,B,10,13,3,CSI-241,1.5,0.02,0.53,0.01,0.03,0,58.35,4.0028,6.97,10.01,2.3364,5.46,5.34
CSI_Dispersal,B11_2015-July25,25-Jul-15,W,B,11,0,2,CSI-242,NA,NA,NA,NA,NA,NA,26.49,4.005,7.07,9.96,1.9042,5.19,4.41
CSI_Dispersal,C1_2015-July25,25-Jul-15,W,C,1,13,0,CSI-243,1.63,0.02,0.82,0.01,0.03,0,4.47,4.0039,6.97,9.96,2.5189,5.48,8.73
CSI_Dispersal,C2_2015-July25,25-Jul-15,W,C,2,0,0,CSI-244,2.08,0.03,0.53,0.01,0.03,0,107.79,3.9973,7.03,10.08,1.6837,4.89,4.42
CSI_Dispersal,C3_2015-July25,25-Jul-15,W,C,3,0,1,CSI-245,1.77,0.02,0.53,0.01,0.03,0,73.64,4.0038,7.05,10.04,1.8725,4.8662,4.19
CSI_Dispersal,C4_2015-July25,25-Jul-15,W,C,4,0,3,CSI-246,1.69,0.02,0.56,0.01,0.03,0,73.4,4.0358,6.93,9.99,1.1504,4.53,2.73
CSI_Dispersal,C5_2015-July25,25-Jul-15,W,C,5,5,2,CSI-247,2.21,0.03,0.53,0.01,0.03,0,77.25,4.0068,7.03,10,1.9265,5.199,4.81
CSI_Dispersal,C6_2015-July25,25-Jul-15,W,C,6,5,3,CSI-248,1.2,0.02,0.53,0.01,0.03,0,8.08,4.006,6.98,10.03,2.1037,5.28,4.61
CSI_Dispersal,C7_2015-July25,25-Jul-15,W,C,7,9,2,CSI-249,1.22,0.02,1.09,0.02,0.03,0,1.18,4,7.01,9.98,2.5652,5.62,4.46
CSI_Dispersal,C8_2015-July25,25-Jul-15,W,C,8,9,3,CSI-250,1.33,0.02,0.53,0.01,0.09,0,1.85,4.0077,7,9.98,2.1496,5.43,5.45
CSI_Dispersal,C9_2015-July25,25-Jul-15,W,C,9,13,2,CSI-251,1.99,0.03,0.65,0.01,0.15,0,52.41,4.0058,7.01,9.93,1.9781,5.44,4.99
CSI_Dispersal,C10_2015-July25,25-Jul-15,W,C,10,13,3,CSI-252,1.69,0.02,0.53,0.01,0.1,0,13.56,4.0074,6.98,10.02,2.5931,5.35,4.75
CSI_Dispersal,C11_2015-July25,25-Jul-15,W,C,11,0,2,CSI-253,1.17,0.02,0.53,0.01,0.03,0,58.58,3.9929,7.01,9.96,1.321,4.56,2.72
CSI_Dispersal,D1_2015-July25,25-Jul-15,W,D,1,13,0,CSI-254,1.05,0.01,0.53,0.01,0.07,0,21.18,3.9982,7.03,10.07,2.1574,5.63,5.89
CSI_Dispersal,D2_2015-July25,25-Jul-15,W,D,2,0,0,CSI-255,2.22,0.03,0.53,0.01,0.03,0,132.16,4.0018,7.03,10.06,1.8439,5.24,4.83
CSI_Dispersal,D3_2015-July25,25-Jul-15,W,D,3,0,1,CSI-256,2.08,0.03,0.53,0.01,0.03,0,267.44,3.9995,7.02,10,1.6917,4.91,4.82
CSI_Dispersal,D4_2015-July25,25-Jul-15,W,D,4,0,3,CSI-257,1.77,0.02,0.53,0.01,0.03,0,189,3.9946,7,9.98,1.8047,4.95,4.28
CSI_Dispersal,D5_2015-July25,25-Jul-15,W,D,5,5,2,CSI-258,1.49,0.02,0.53,0.01,0.03,0,0.73,3.9953,6.97,10,2.0827,5.28,7.09
CSI_Dispersal,D6_2015-July25,25-Jul-15,W,D,6,5,3,CSI-259,1.99,0.03,0.53,0.01,0.03,0,37.37,3.9971,7.02,9.95,1.8688,5.09,3.71
CSI_Dispersal,D7_2015-July25,25-Jul-15,W,D,7,9,2,CSI-260,1.5,0.02,0.53,0.01,0.03,0,18.14,4.0022,6.99,9.99,1.6062,5.48,4.43
CSI_Dispersal,D8_2015-July25,25-Jul-15,W,D,8,9,3,CSI-261,1.69,0.02,0.53,0.01,0.03,0,5.8,3.9949,6.98,10.05,1.7586,5.47,4.75
CSI_Dispersal,D9_2015-July25,25-Jul-15,W,D,9,13,2,CSI-262,1.72,0.02,0.53,0.01,0.03,0,10.11,3.9956,6.96,9.94,2.0531,5.82,5.74
CSI_Dispersal,D10_2015-July25,25-Jul-15,W,D,10,13,3,CSI-263,1.82,0.03,0.53,0.01,0.03,0,35.26,4.0014,7.02,9.93,1.9747,5.61,5.39
CSI_Dispersal,D11_2015-July25,25-Jul-15,W,D,11,0,2,CSI-264,1.09,0.02,0.53,0.01,0.03,0,100.9,4.0091,7.01,9.93,1.991,4.88,8.27
