,Tank_Name,Replicate,Number,Salinity,Dispersal,Date,Maple,Spartina,Phragmites,DryWt_Maple,DryWt_Spartina,DryWt_Phragmites,Maple_dmass,Spartina_dmass,Phrag_dmass
1,A10_2015-June11,A,10,13,3,6/11/2015,3.9997,6.98,9.98,1.7681,5.32,4.5,2.2316,1.66,5.48
2,A11_2015-June12,A,11,0,2,6/11/2015,4.0063,7.02,9.98,1.4821,5.17,4.78,2.5242,1.85,5.2
3,A4_2015-June11,A,4,0,3,6/11/2015,3.9948,7,10.02,1.3355,4.3,1.77,2.6593,2.7,8.25
4,A5_2015-June11,A,5,5,2,6/11/2015,3.9991,6.97,10.09,1.8128,5.41,5.06,2.1863,1.56,5.03
5,A6_2015-June11,A,6,5,3,6/11/2015,4.0076,7.03,9.98,1.965,5.21,4.97,2.0426,1.82,5.01
6,A7_2015-June12,A,7,9,2,6/11/2015,3.9993,6.94,10.01,2.7233,5.8,4.81,1.276,1.14,5.2
7,A8_2015-June12,A,8,9,3,6/11/2015,4.0001,6.96,9.95,2.61248,6.49,5.94,1.38762,0.47,4.01
8,A9_2015-June12,A,9,13,2,6/11/2015,3.9992,6.97,9.92,2.9271,6.14,9.13,1.0721,0.83,0.79
9,B10_2015-June11,B,10,13,3,6/11/2015,4.0028,6.97,10.01,2.3364,5.46,5.34,1.6664,1.51,4.67
10,B11_2015-June11,B,11,0,2,6/11/2015,4.005,7.07,9.96,1.9042,5.19,4.41,2.1008,1.88,5.55
11,B4_2015-June11,B,4,0,3,6/11/2015,4.0003,7.03,9.99,2.2989,5.28,4.82,1.7014,1.75,5.17
12,B5_2015-June11,B,5,5,2,6/11/2015,4.0074,7.01,9.96,2.1586,5.08,3.44,1.8488,1.93,6.52
13,B6_2015-June11,B,6,5,3,6/11/2015,4.0018,7.07,9.96,2.1115,5.51,5.66,1.8903,1.56,4.3
14,B8_2015-June11,B,8,9,3,6/11/2015,3.9973,6.99,10.06,2.2375,5.37,4.59,1.7598,1.62,5.47
15,B9_2015-June11,B,9,13,2,6/11/2015,4.0546,7.01,10,2.3612,5.6,7.16,1.6934,1.41,2.84
16,C10_2015-June12,C,10,13,3,6/12/2015,4.0074,6.98,10.02,2.5931,5.35,4.75,1.4143,1.63,5.27
17,C11_2015-June12,C,11,0,2,6/12/2015,3.9929,7.01,9.96,1.321,4.56,2.72,2.6719,2.45,7.24
18,C4_2015-June12,C,4,0,3,6/12/2015,4.0358,6.93,9.99,1.1504,4.53,2.73,2.8854,2.4,7.26
19,C5_2015-June12,C,5,5,2,6/12/2015,4.0068,7.03,10,1.9265,5.199,4.81,2.0803,1.831,5.19
20,C6_2015-June12,C,6,5,3,6/12/2015,4.006,6.98,10.03,2.1037,5.28,4.61,1.9023,1.7,5.42
21,C7_2015-June12,C,7,9,2,6/12/2015,4,7.01,9.98,2.5652,5.62,4.46,1.4348,1.39,5.52
22,C8_2015-June12,C,8,9,3,6/12/2015,4.0077,7,9.98,2.1496,5.43,5.45,1.8581,1.57,4.53
23,C9_2015-June12,C,9,13,2,6/12/2015,4.0058,7.01,9.93,1.9781,5.44,4.99,2.0277,1.57,4.94
24,D10_2015-June12,D,10,13,3,6/12/2015,4.0014,7.02,9.93,1.9747,5.61,5.39,2.0267,1.41,4.54
25,D11_2015-June12,D,11,0,2,6/12/2015,4.0091,7.01,9.93,1.991,4.88,8.27,2.0181,2.13,1.66
26,D4_2015-June12,D,4,0,3,6/12/2015,3.9946,7,9.98,1.8047,4.95,4.28,2.1899,2.05,5.7
27,D5_2015-June12,D,5,5,2,6/12/2015,3.9953,6.97,10,2.0827,5.28,7.09,1.9126,1.69,2.91
28,D6_2015-June12,D,6,5,3,6/12/2015,3.9971,7.02,9.95,1.8688,5.09,3.71,2.1283,1.93,6.24
29,D7_2015-June12,D,7,9,2,6/12/2015,4.0022,6.99,9.99,1.6062,5.48,4.43,2.396,1.51,5.56
30,D8_2015-June12,D,8,9,3,6/12/2015,3.9949,6.98,10.05,1.7586,5.47,4.75,2.2363,1.51,5.3
31,D9_2015-June12,D,9,13,2,6/12/2015,3.9956,6.96,9.94,2.0531,5.82,5.74,1.9425,1.14,4.2
