IU_Barcode,CSI_ID,Date,Date2,Replicate,Number,Tank_Name,Salinity,Dispersal
CSI001,ECU_CSI_001,11-Jun-15,0,A,1,A1_2015-June11,13,Source13
CSI002,ECU_CSI_002,11-Jun-15,0,A,2,A2_2015-June11,0,Source0
CSI003,ECU_CSI_003,11-Jun-15,0,A,3,A3_2015-June11,0,Control00
CSI004,ECU_CSI_004,11-Jun-15,0,A,4,A4_2015-June11,0,3
CSI005,ECU_CSI_005,11-Jun-15,0,A,5,A5_2015-June11,5,2
CSI006,ECU_CSI_006,11-Jun-15,0,A,6,A6_2015-June11,5,3
CSI007,ECU_CSI_007,11-Jun-15,0,A,7,A7_2015-June11,9,2
CSI008,ECU_CSI_008,11-Jun-15,0,A,8,A8_2015-June11,9,3
CSI009,ECU_CSI_009,11-Jun-15,0,A,9,A9_2015-June11,13,2
CSI010,ECU_CSI_010,11-Jun-15,0,A,10,A10_2015-June11,13,3
CSI011,ECU_CSI_011,11-Jun-15,0,A,11,A11_2015-June11,0,2
CSI012,ECU_CSI_012,11-Jun-15,0,B,1,B1_2015-June11,13,Source13
CSI013,ECU_CSI_013,11-Jun-15,0,B,2,B2_2015-June11,0,Source0
CSI014,ECU_CSI_014,11-Jun-15,0,B,3,B3_2015-June11,0,Control00
CSI015,ECU_CSI_015,11-Jun-15,0,B,4,B4_2015-June11,0,3
CSI016,ECU_CSI_016,11-Jun-15,0,B,5,B5_2015-June11,5,2
CSI017,ECU_CSI_017,11-Jun-15,0,B,6,B6_2015-June11,5,3
CSI018,ECU_CSI_019,11-Jun-15,0,B,8,B8_2015-June11,9,3
CSI019,ECU_CSI_020,11-Jun-15,0,B,9,B9_2015-June11,13,2
CSI020,ECU_CSI_021,11-Jun-15,0,B,10,B10_2015-June11,13,3
CSI021,ECU_CSI_022,11-Jun-15,0,B,11,B11_2015-June11,0,2
CSI022,ECU_CSI_023,11-Jun-15,0,C,1,C1_2015-June11,13,Source13
CSI023,ECU_CSI_024,11-Jun-15,0,C,2,C2_2015-June11,0,Source0
CSI024,ECU_CSI_025,11-Jun-15,0,C,3,C3_2015-June11,0,Control00
CSI025,ECU_CSI_026,11-Jun-15,0,C,4,C4_2015-June11,0,3
CSI026,ECU_CSI_027,11-Jun-15,0,C,5,C5_2015-June11,5,2
CSI027,ECU_CSI_028,11-Jun-15,0,C,6,C6_2015-June11,5,3
CSI028,ECU_CSI_029,11-Jun-15,0,C,7,C7_2015-June11,9,2
CSI029,ECU_CSI_030,11-Jun-15,0,C,8,C8_2015-June11,9,3
CSI030,ECU_CSI_031,11-Jun-15,0,C,9,C9_2015-June11,13,2
CSI031,ECU_CSI_032,11-Jun-15,0,C,10,C10_2015-June11,13,3
CSI032,ECU_CSI_033,11-Jun-15,0,C,11,C11_2015-June11,0,2
CSI033,ECU_CSI_034,11-Jun-15,0,D,1,D1_2015-June11,13,Source13
CSI034,ECU_CSI_035,11-Jun-15,0,D,2,D2_2015-June11,0,Source0
CSI035,ECU_CSI_036,11-Jun-15,0,D,3,D3_2015-June11,0,Control00
CSI036,ECU_CSI_037,11-Jun-15,0,D,4,D4_2015-June11,0,3
CSI037,ECU_CSI_038,11-Jun-15,0,D,5,D5_2015-June11,5,2
CSI038,ECU_CSI_039,11-Jun-15,0,D,6,D6_2015-June11,5,3
CSI039,ECU_CSI_040,11-Jun-15,0,D,7,D7_2015-June11,9,2
CSI040,ECU_CSI_041,11-Jun-15,0,D,8,D8_2015-June11,9,3
CSI041,ECU_CSI_042,11-Jun-15,0,D,9,D9_2015-June11,13,2
CSI042,ECU_CSI_043,11-Jun-15,0,D,10,D10_2015-June11,13,3
CSI043,ECU_CSI_044,11-Jun-15,0,D,11,D11_2015-June11,0,2
CSI044,ECU_CSI_221,26-Jul-15,45,A,1,A1_2015-July25,13,Source13
CSI045,ECU_CSI_222,26-Jul-15,45,A,2,A2_2015-July25,0,Source0
CSI046,ECU_CSI_223,26-Jul-15,45,A,3,A3_2015-July25,0,Control00
CSI047,ECU_CSI_224,26-Jul-15,45,A,4,A4_2015-July25,0,3
CSI048,ECU_CSI_225,26-Jul-15,45,A,5,A5_2015-July25,5,2
CSI049,ECU_CSI_226,26-Jul-15,45,A,6,A6_2015-July25,5,3
CSI050,ECU_CSI_227,26-Jul-15,45,A,7,A7_2015-July25,9,2
CSI051,ECU_CSI_228,26-Jul-15,45,A,8,A8_2015-July25,9,3
CSI052,ECU_CSI_229,26-Jul-15,45,A,9,A9_2015-July25,13,2
CSI053,ECU_CSI_230,26-Jul-15,45,A,10,A10_2015-July25,13,3
CSI054,ECU_CSI_231,26-Jul-15,45,A,11,A11_2015-July25,0,2
CSI055,ECU_CSI_232,26-Jul-15,45,B,1,B1_2015-July25,13,Source13
CSI056,ECU_CSI_233,26-Jul-15,45,B,2,B2_2015-July25,0,Source0
CSI057,ECU_CSI_234,26-Jul-15,45,B,3,B3_2015-July25,0,Control00
CSI058,ECU_CSI_235,26-Jul-15,45,B,4,B4_2015-July25,0,3
CSI059,ECU_CSI_236,26-Jul-15,45,B,5,B5_2015-July25,5,2
CSI060,ECU_CSI_237,26-Jul-15,45,B,6,B6_2015-July25,5,3
CSI061,ECU_CSI_239,26-Jul-15,45,B,8,B8_2015-July25,9,3
CSI062,ECU_CSI_240,26-Jul-15,45,B,9,B9_2015-July25,13,2
CSI063,ECU_CSI_241,26-Jul-15,45,B,10,B10_2015-July25,13,3
CSI064,ECU_CSI_242,26-Jul-15,45,B,11,B11_2015-July25,0,2
CSI065,ECU_CSI_243,26-Jul-15,45,C,1,C1_2015-July25,13,Source13
CSI066,ECU_CSI_244,26-Jul-15,45,C,2,C2_2015-July25,0,Source0
CSI067,ECU_CSI_245,26-Jul-15,45,C,3,C3_2015-July25,0,Control00
CSI068,ECU_CSI_246,26-Jul-15,45,C,4,C4_2015-July25,0,3
CSI069,ECU_CSI_247,26-Jul-15,45,C,5,C5_2015-July25,5,2
CSI070,ECU_CSI_248,26-Jul-15,45,C,6,C6_2015-July25,5,3
CSI071,ECU_CSI_249,26-Jul-15,45,C,7,C7_2015-July25,9,2
CSI072,ECU_CSI_250,26-Jul-15,45,C,8,C8_2015-July25,9,3
CSI073,ECU_CSI_251,26-Jul-15,45,C,9,C9_2015-July25,13,2
CSI074,ECU_CSI_252,26-Jul-15,45,C,10,C10_2015-July25,13,3
CSI075,ECU_CSI_253,26-Jul-15,45,C,11,C11_2015-July25,0,2
CSI076,ECU_CSI_254,26-Jul-15,45,D,1,D1_2015-July25,13,Source13
CSI077,ECU_CSI_255,26-Jul-15,45,D,2,D2_2015-July25,0,Source0
CSI078,ECU_CSI_256,26-Jul-15,45,D,3,D3_2015-July25,0,Control00
CSI079,ECU_CSI_257,26-Jul-15,45,D,4,D4_2015-July25,0,3
CSI080,ECU_CSI_258,26-Jul-15,45,D,5,D5_2015-July25,5,2
CSI081,ECU_CSI_259,26-Jul-15,45,D,6,D6_2015-July25,5,3
CSI082,ECU_CSI_260,26-Jul-15,45,D,7,D7_2015-July25,9,2
CSI083,ECU_CSI_261,26-Jul-15,45,D,8,D8_2015-July25,9,3
CSI084,ECU_CSI_262,26-Jul-15,45,D,9,D9_2015-July25,13,2
CSI085,ECU_CSI_263,26-Jul-15,45,D,10,D10_2015-July25,13,3
CSI086,ECU_CSI_264,26-Jul-15,45,D,11,D11_2015-July25,0,2
CSI087,ECU_CSI_089,29-Jun-15,18,A,1,A1_2015-June29,13,Source13
CSI088,ECU_CSI_090,29-Jun-15,18,A,2,A2_2015-June29,0,Source0
CSI089,ECU_CSI_091,29-Jun-15,18,A,3,A3_2015-June29,0,Control00
CSI090,ECU_CSI_092,29-Jun-15,18,A,4,A4_2015-June29,0,3
CSI091,ECU_CSI_093,29-Jun-15,18,A,5,A5_2015-June29,5,2
CSI092,ECU_CSI_094,29-Jun-15,18,A,6,A6_2015-June29,5,3
CSI093,ECU_CSI_095,29-Jun-15,18,A,7,A7_2015-June29,9,2
CSI094,ECU_CSI_096,29-Jun-15,18,A,8,A8_2015-June29,9,3
CSI095,ECU_CSI_097,29-Jun-15,18,A,9,A9_2015-June29,13,2
CSI096,ECU_CSI_098,29-Jun-15,18,A,10,A10_2015-June29,13,3
