Treatment,Rep #,Control Y/N,Chl Time in,Chl_time_1,Time Nh4 in,Nh4_time_1,Chl 1,Nh4 1,pH1,Temp 1,Time Chl End,Chl_time_2,Time Nh4 End,Nh4_time_2,Chl_Time_Diff,Nh4_Time_Diff,chl2,Nh4 2,pH2,Temp 2,# of ceriodaphnia,date,,
1,1,N,928,9:28:00 AM,938,9:38:00 AM,7.942,3.76,7.4,21.3,1524,3:24:00 PM,1536,3:36:00 PM,356,358,7.243,3.47,7.4,21.3,79,11_7,,
1,2,N,815,8:15:00 AM,819,8:19:00 AM,8.453,3.87,7.3,21.5,14:12,2:12:00 PM,1419,2:19:00 PM,357,360,7.951,3.64,7.4,21.4,33,11_7,,
1,3,N,804,8:04:00 AM,807,8:07:00 AM,8.024,3.71,7.3,21.3,13:54,1:54:00 PM,13.58,1:58:00 PM,350,351,6.456,3.89,7.4,21.6,97,11_7,,
1,4,N,902,9:02:00 AM,906,9:06:00 AM,7.782,3.47,7.4,21.7,15:02,3:02:00 PM,1506,3:06:00 PM,360,360,7.622,3.57,7.4,21,74,11_7,,
1,5,N,752,7:52:00 AM,756,7:56:00 AM,8.463,4.18,7.3,21.4,13:48,1:48:00 PM,1353,1:53:00 PM,356,357,8.014,4.05,7.4,21.1,78,11_7,,
1,6,Y,836,8:36:00 AM,841,8:41:00 AM,8.274,3.78,7.3,21.4,1435,2:35:00 PM,1441,2:41:00 PM,359,360,7.368,3.63,7.4,21.2,0,11_7,,
1,7,Y,945,9:45:00 AM,957,9:57:00 AM,7.481,3.9,7.4,21.3,1545,3:45:00 PM,1551,3:51:00 PM,360,354,7.543,3.72,7.4,21,0,11_7,,
1,8,Y,855,8:55:00 AM,901,9:01:00 AM,8.187,4.06,7.4,21.6,1454,2:54:00 PM,1503,3:03:00 PM,359,362,8.619,4.28,7.4,20.9,0,11_7,,
2,9,N,812,8:22:00 AM,816,8:16:00 AM,16.04,4.57,7.4,21.3,1410,2:10:00 PM,1416,2:16:00 PM,348,360,14.45,4.46,7.4,21.4,77,11_7,,
2,10,N,830,8:30:00 AM,834,8:34:00 AM,17.11,4.44,7.3,21.5,1428,2:28:00 PM,1434,2:34:00 PM,358,360,13.49,4.47,7.3,21.2,80,11_7,,
2,11,N,941,9:41:00 AM,953,9:53:00 AM,16.03,4.63,7.4,21.1,1538,3:38:00 PM,1549,3:49:00 PM,357,356,13.81,4.71,7.4,21.3,81,11_7,,
2,12,N,744,7:44:00 AM,750,7:50:00 AM,16.12,5.925,7.4,21.8,1342,1:42:00 PM,13.48,1:48:00 PM,358,358,13.4,5.37,7.4,21.7,80,11_7,,
2,13,N,852,8:52:00 AM,859,8:59:00 AM,14.52,4.7,7.4,21.7,1452,2:52:00 PM,1501,3:01:00 PM,360,362,9.898,5.13,7.4,21.1,71,11_7,,
2,14,Y,930,9:30:00 AM,944,9:44:00 AM,16.14,4.68,7.4,21.5,1533,3:33:00 PM,1539,3:39:00 PM,363,355,12.82,4.46,7.4,21,0,11_7,,
2,15,Y,818,8:18:00 AM,822,8:22:00 AM,15.76,4.55,7.3,21.5,1417,2:17:00 PM,1422,2:22:00 PM,359,360,16.25,4.56,7.3,21.5,0,11_7,,
2,16,Y,910,9:10:00 AM,925,9:25:00 AM,14.14,4.76,7.4,21.7,1514,3:14:00 PM,1527,3:27:00 PM,364,362,1418,4.85,7.4,21.2,0,11_7,,
3,17,N,748,7:48:00 AM,753,7:53:00 AM,0.748,3.69,7.3,21.5,1345,1:45:00 PM,1350,1:50:00 PM,357,357,0.753,3.32,7.3,21.5,101,11_7,,
3,18,N,821,8:21:00 AM,825,8:25:00 AM,0.846,3,7.3,21.4,1421,2:21:00 PM,1424,2:24:00 PM,360,359,0.788,2.9,7.3,21.5,89,11_7,,
3,19,N,759,7:59:00 AM,804,8:04:00 AM,0.654,2.99,7.3,21.1,1352,1:52:00 PM,1357,1:57:00 PM,353,353,0.738,3.02,7.4,21.6,78,11_7,,
3,20,N,858,8:58:00 AM,903,9:03:00 AM,0.757,3.08,7.4,21.6,1456,2:56:00 PM,1504,3:04:00 PM,358,361,0.722,3.14,0.4,21.2,96,11_7,,
3,21,N,905,9:05:00 AM,910,9:10:00 AM,0.721,2.93,7.3,21.5,15.03,3:03:00 PM,15.1,3:10:00 PM,358,360,0.693,3.09,7.4,21,66,11_7,,
3,22,Y,933,9:33:00 AM,946,9:46:00 AM,0.799,2.85,7.3,21.5,1534,3:34:00 PM,1543,3:43:00 PM,361,357,0.761,2.82,7.4,21.1,0,11_7,,
3,23,Y,950,9:50:00 AM,1002,10:02:00 AM,0.737,2.75,7.4,21.4,1548,3:48:00 PM,1558,3:58:00 PM,358,356,0.738,2.77,7.4,21.3,0,11_7,,
3,24,Y,833,8:33:00 AM,837,8:37:00 AM,0.722,2.94,7.3,21.5,1433,2:33:00 PM,1439,2:39:00 PM,360,362,0.835,2.85,7.3,21.2,0,11_7,,
4,25,N,840,8:40:00 AM,846,8:46:00 AM,21.4,4.92,7.4,21.6,1438,2:38:00 PM,1446,2:46:00 PM,358,360,19,5.37,7.4,21.1,49,11_7,,
4,26,N,913,9:13:00 AM,921,9:21:00 AM,19.41,4.93,7.3,21.8,1513,3:13:00 PM,1522,3:22:00 PM,360,361,17.18,4.86,7.4,21.3,62,11_7,,
4,27,N,824,8:24:00 AM,828,8:28:00 AM,19.8,5.12,7.3,21.4,1424,2:24:00 PM,1427,2:27:00 PM,360,359,17.77,4.81,7.4,21.4,63,11_7,,
4,28,N,937,9:37:00 AM,951,9:51:00 AM,18.63,5.28,7.5,21.2,1536,3:36:00 PM,1546,3:46:00 PM,359,355,17.69,5.21,7.4,21.3,61,11_7,,
4,29,N,806,8:06:00 AM,810,8:10:00 AM,19.43,4.74,7.4,21.5,1356,1:56:00 PM,1400,2:00:00 PM,350,350,17.83,5.38,7.4,21.6,78,11_7,,
4,30,Y,920,9:20:00 AM,932,9:32:00 AM,18.63,5.35,7.4,21.1,1516,3:16:00 PM,1531,3:31:00 PM,356,359,17.25,4.87,7.5,21.2,0,11_7,,
4,31,Y,740,7:40:00 AM,746,7:46:00 AM,20.18,3.47,7.5,21.4,1341,1:41:00 PM,13.46,1:46:00 PM,361,360,18.04,8.11,7.4,21.6,0,11_7,,
4,32,Y,849,8:49:00 AM,853,8:53:00 AM,20.36,5.34,7.4,21.6,1449,2:49:00 PM,1458,2:58:00 PM,360,365,18.49,5.37,7.4,21.5,0,11_7,,
5,33,N,827,8:27:00 AM,831,8:31:00 AM,2.969,3.05,7.3,21.4,1426,2:26:00 PM,1429,2:29:00 PM,359,358,2.515,3.03,7.4,21.3,85,11_7,,
5,34,N,923,9:23:00 AM,935,9:35:00 AM,2.598,3.27,7.4,20.9,1522,3:22:00 PM,1533,3:33:00 PM,359,358,2.527,3.03,7.4,21.4,67,11_7,,
5,35,N,846,8:46:00 AM,850,8:50:00 AM,2.655,3.13,7.4,21.6,1441,2:41:00 PM,1453,2:53:00 PM,355,363,2.537,3.12,7.4,21.2,118,11_7,,
5,36,N,755,7:55:00 AM,800,8:00:00 AM,2.895,3.37,7.3,21.4,1349,1:49:00 PM,1355,1:55:00 PM,354,355,2.465,3.39,7.4,21.3,110,11_7,,
5,37,N,908,9:08:00 AM,914,9:14:00 AM,2.604,3.11,7.3,21.6,1505,3:05:00 PM,1515,3:15:00 PM,357,361,2.583,3.5,7.4,21,75,11_7,,
5,38,Y,948,9:48:00 AM,1000,10:00:00 AM,2.272,3.39,7.4,21.4,1547,3:47:00 PM,1554,3:54:00 PM,359,354,2.221,3.28,7.4,21.2,0,11_7,,
5,39,Y,842,8:42:00 AM,848,8:48:00 AM,2.662,3.33,7.4,21.5,1439,2:39:00 PM,1448,2:48:00 PM,357,360,2.417,3.45,7.4,21.1,0,11_7,,
5,40,Y,809,8:09:00 AM,813,8:13:00 AM,2.65,3.12,7.3,20.8,1409,2:09:00 PM,1414,2:14:00 PM,360,361,2.406,3.2,7.3,21.2,0,11_7,,
1,1,N,832,8:32:00 AM,836,8:36:00 AM,10.41,4.58,7.5,19.3,1432,2:32:00 PM,1438,2:38:00 PM,360,362,8.988,4.46,7.3,22,130,11_16,,
1,2,N,912,9:12:00 AM,932,9:32:00 AM,9.857,5.51,7.2,20.6,1510,3:10:00 PM,1531,3:31:00 PM,358,359,11.15,4.4,7.3,21.3,40,11_16,,
1,3,N,929,9:29:00 AM,957,9:57:00 AM,9.689,3.95,7.2,20.6,1526,3:26:00 PM,1544,3:44:00 PM,357,347,9.236,4.21,7.4,21.4,77,11_16,,
1,4,N,1001,10:01:00 AM,1014,10:14:00 AM,9.911,4.58,7.1,20.5,1600,4:00:00 PM,1609,4:09:00 PM,359,355,8.557,3.89,7.3,21.3,56,11_16,,
1,5,N,1013,10:13:00 AM,1030,10:30:00 AM,10.56,5.54,7.3,20.5,1609,4:09:00 PM,1630,4:30:00 PM,356,360,9.735,4.38,7.4,21.3,57,11_16,,
1,6,Y,857,8:57:00 AM,908,9:08:00 AM,9.656,4,7.2,20.7,1454,2:54:00 PM,1518,3:18:00 PM,357,370,9.351,4.86,7.4,21.4,0,11_16,,
1,7,Y,1053,10:53:00 AM,1114,11:14:00 AM,9.56,4.7,7.3,20.6,1652,4:52:00 PM,1702,5:02:00 PM,359,348,10.43,4.32,7.4,21.1,0,11_16,,
1,8,Y,1107,11:07:00 AM,1130,11:30:00 AM,9.012,5.03,7.3,20.6,1702,5:02:00 PM,1720,5:20:00 PM,355,350,9.484,4.04,7.4,21.5,0,11_16,,
2,9,N,835,8:35:00 AM,842,8:42:00 AM,16,5.6,7.3,19.7,1435,2:35:00 PM,1445,2:45:00 PM,360,363,17.75,6.05,7.4,21.8,44,11_16,,
2,10,N,847,8:47:00 AM,859,8:59:00 AM,17.78,5.17,7.2,20.3,1447,2:47:00 PM,1502,3:02:00 PM,360,363,17.82,5.23,7.4,21.4,66,11_16,,
2,11,N,1004,10:04:00 AM,1017,10:17:00 AM,18.7,5.58,7.2,20.5,1602,4:02:00 PM,1618,4:18:00 PM,358,361,14.6,6.42,7.4,21.4,49,11_16,,
2,12,N,1016,10:16:00 AM,1034,10:34:00 AM,18.47,6.59,7.3,20.7,1612,4:12:00 PM,1633,4:33:00 PM,356,359,15.85,5.07,7.4,21.2,44,11_16,,
2,13,N,1032,10:32:00 AM,1055,10:55:00 AM,17.57,6.14,7.3,20.6,1629,4:29:00 PM,1644,4:44:00 PM,357,349,16.69,5.47,7.4,21.3,47,11_16,,
2,14,Y,915,9:15:00 AM,946,9:46:00 AM,16.2,6.28,7.2,20.7,1512,3:12:00 PM,1534,3:34:00 PM,357,348,20.24,5.84,7.4,21.3,0,11_16,,
2,15,Y,941,9:41:00 AM,1002,10:02:00 AM,18.84,5.29,7.2,20.6,1540,3:40:00 PM,1551,3:51:00 PM,359,349,19.04,5.61,7.4,21.2,0,11_16,,
2,16,Y,1110,11:10:00 AM,1134,11:34:00 AM,16.73,5.67,7.4,20.7,1705,5:05:00 PM,1727,5:27:00 PM,355,353,19.03,5.38,7.4,21.4,0,11_16,,
3,17,N,838,8:38:00 AM,844,8:44:00 AM,0.797,3.03,7.2,20.3,1436,2:36:00 PM,1450,2:50:00 PM,358,366,0.821,2.91,7.3,21.7,42,11_16,,
3,18,N,849,8:49:00 AM,901,9:01:00 AM,0.905,2.81,7.2,20.6,1448,2:48:00 PM,1505,3:05:00 PM,359,364,0.805,2.95,7.3,21.5,47,11_16,,
3,19,N,904,9:04:00 AM,913,9:13:00 AM,0.841,3.05,7.1,20.6,1504,3:04:00 PM,1521,3:21:00 PM,360,368,0.731,3.2,7.3,21.2,143,11_16,,
3,20,N,1021,10:21:00 AM,1037,10:37:00 AM,0.923,3.9,7.2,20.6,1620,4:20:00 PM,1635,4:35:00 PM,359,358,0.807,3.38,7.4,21.2,78,11_16,,
3,21,N,1035,10:35:00 AM,1059,10:59:00 AM,0.943,3.57,7.2,20.6,1631,4:31:00 PM,1646,4:46:00 PM,356,347,0.768,3.3,7.4,21.4,64,11_16,,
3,22,Y,944,9:44:00 AM,1005,10:05:00 AM,0.889,3.16,7.2,20.6,1543,3:43:00 PM,1558,3:58:00 PM,359,353,0.816,3.59,7.4,21.3,0,11_16,,
3,23,Y,1006,10:06:00 AM,1019,10:19:00 AM,0.908,3.18,7.2,20.6,1604,4:04:00 PM,1623,4:23:00 PM,358,364,0.743,3.57,7.4,21.3,0,11_16,,
