pool_id,date,Ceriodaphnia_rigaudi
1,Jan-90,0
1,Jan-90,0
1,Jan-91,0
1,Jan-92,0
1,Jan-93,134
1,Jan-94,0
1,Jan-96,0
1,Jan-97,0
1,Jun-97,0
1,Jan-98,0
1,Jan-99,0
1,Jan-01,0
1,Jan-02,0
1,Jan-03,0
1,Jan-04,
2,Jan-90,
2,Jan-90,0
2,Jan-91,0
2,Jan-92,0
2,Jan-93,0
2,Jan-94,0
2,Jan-96,0
2,Jan-97,0
2,Jun-97,0
2,Jan-98,0
2,Jan-99,0
2,Jan-01,0
2,Jan-02,0
2,Jan-03,0
2,Jan-04,
3,Jan-90,0
3,Jan-90,0
3,Jan-91,0
3,Jan-92,0
3,Jan-93,0
3,Jan-94,0
3,Jan-96,
3,Jan-97,0
3,Jun-97,0
3,Jan-98,0
3,Jan-99,0
3,Jan-01,0
3,Jan-02,0
3,Jan-03,0
3,Jan-04,0
4,Jan-90,0
4,Jan-90,0
4,Jan-91,0
4,Jan-92,0
4,Jan-93,0
4,Jan-94,0
4,Jan-96,
4,Jan-97,0
4,Jun-97,0
4,Jan-98,0
4,Jan-99,0
4,Jan-01,0
4,Jan-02,0
4,Jan-03,0
4,Jan-04,
5,Jan-90,0
5,Jan-90,2
5,Jan-91,0
5,Jan-92,0
5,Jan-93,0
5,Jan-94,0
5,Jan-96,0
5,Jan-97,0
5,Jun-97,0
5,Jan-98,0
5,Jan-99,
5,Jan-01,0
5,Jan-02,0
5,Jan-03,0
5,Jan-04,
6,Jan-90,0
6,Jan-90,0
6,Jan-91,0
6,Jan-92,0
6,Jan-93,0
6,Jan-94,0
6,Jan-96,0
6,Jan-97,0
6,Jun-97,0
6,Jan-98,0
6,Jan-99,
6,Jan-01,1
6,Jan-02,0
6,Jan-03,0
6,Jan-04,
7,Jan-90,0
7,Jan-90,0
7,Jan-91,0
7,Jan-92,0
7,Jan-93,0
7,Jan-94,0
7,Jan-96,0
7,Jan-97,0
7,Jun-97,0
7,Jan-98,0
7,Jan-99,
7,Jan-01,0
7,Jan-02,0
7,Jan-03,0
7,Jan-04,
8,Jan-90,0
8,Jan-90,0
8,Jan-91,0
8,Jan-92,0
8,Jan-93,0
8,Jan-94,0
8,Jan-96,0
8,Jan-97,0
8,Jun-97,0
8,Jan-98,0
8,Jan-99,0
8,Jan-01,0
8,Jan-02,0
8,Jan-03,0
8,Jan-04,
9,Jan-90,0
9,Jan-90,0
9,Jan-91,0
9,Jan-92,0
9,Jan-93,0
9,Jan-94,0
9,Jan-96,0
9,Jan-97,0
9,Jun-97,0
9,Jan-98,0
9,Jan-99,0
9,Jan-01,0
9,Jan-02,
9,Jan-03,0
9,Jan-04,
10,Jan-90,0
10,Jan-90,0
10,Jan-91,0
10,Jan-92,0
10,Jan-93,0
10,Jan-94,0
10,Jan-96,0
10,Jan-97,0
10,Jun-97,0
10,Jan-98,0
10,Jan-99,0
10,Jan-01,0
10,Jan-02,0
10,Jan-03,0
10,Jan-04,
11,Jan-90,0
11,Jan-90,0
11,Jan-91,0
11,Jan-92,0
11,Jan-93,0
11,Jan-94,0
11,Jan-96,0
11,Jan-97,0
11,Jun-97,0
11,Jan-98,0
11,Jan-99,0
11,Jan-01,0
11,Jan-02,0
11,Jan-03,0
11,Jan-04,
12,Jan-90,0
12,Jan-90,0
12,Jan-91,0
12,Jan-92,0
12,Jan-93,0
12,Jan-94,0
12,Jan-96,0
12,Jan-97,0
12,Jun-97,
12,Jan-98,0
12,Jan-99,
12,Jan-01,0
12,Jan-02,0
12,Jan-03,0
12,Jan-04,0
13,Jan-90,0
13,Jan-90,0
13,Jan-91,0
13,Jan-92,0
13,Jan-93,0
13,Jan-94,0
13,Jan-96,0
13,Jan-97,0
13,Jun-97,0
13,Jan-98,0
13,Jan-99,0
13,Jan-01,0
13,Jan-02,0
13,Jan-03,0
13,Jan-04,
14,Jan-90,0
14,Jan-90,0
14,Jan-91,0
14,Jan-92,0
14,Jan-93,
14,Jan-94,0
14,Jan-96,0
14,Jan-97,0
14,Jun-97,0
14,Jan-98,0
14,Jan-99,0
14,Jan-01,0
14,Jan-02,0
14,Jan-03,0
14,Jan-04,
15,Jan-90,0
15,Jan-90,0
15,Jan-91,0
15,Jan-92,0
15,Jan-93,0
15,Jan-94,0
15,Jan-96,
15,Jan-97,0
15,Jun-97,
15,Jan-98,0
15,Jan-99,
15,Jan-01,0
15,Jan-02,0
15,Jan-03,0
15,Jan-04,0
16,Jan-90,0
16,Jan-90,0
16,Jan-91,0
16,Jan-92,0
16,Jan-93,0
16,Jan-94,0
16,Jan-96,0
16,Jan-97,0
16,Jun-97,0
16,Jan-98,0
16,Jan-99,0
16,Jan-01,0
16,Jan-02,0
16,Jan-03,0
16,Jan-04,
17,Jan-90,0
17,Jan-90,0
17,Jan-91,0
17,Jan-92,1
17,Jan-93,0
17,Jan-94,0
17,Jan-96,0
17,Jan-97,0
17,Jun-97,0
17,Jan-98,0
17,Jan-99,0
17,Jan-01,0
17,Jan-02,0
17,Jan-03,0
17,Jan-04,
18,Jan-90,0
18,Jan-90,0
18,Jan-91,0
18,Jan-92,1
18,Jan-93,0
18,Jan-94,0
18,Jan-96,0
18,Jan-97,0
18,Jun-97,0
18,Jan-98,0
18,Jan-99,0
18,Jan-01,0
18,Jan-02,0
18,Jan-03,0
18,Jan-04,0
20,Jan-90,0
20,Jan-90,0
20,Jan-91,0
20,Jan-92,0
20,Jan-93,0
20,Jan-94,0
20,Jan-96,0
20,Jan-97,0
20,Jun-97,0
20,Jan-98,0
20,Jan-99,
20,Jan-01,
20,Jan-02,0
20,Jan-03,0
20,Jan-04,
21,Jan-90,0
21,Jan-90,
21,Jan-91,0
21,Jan-92,0
21,Jan-93,
21,Jan-94,
21,Jan-96,0
21,Jan-97,0
21,Jun-97,0
21,Jan-98,0
21,Jan-99,0
21,Jan-01,0
21,Jan-02,0
21,Jan-03,0
21,Jan-04,0
22,Jan-90,0
22,Jan-90,0
22,Jan-91,0
22,Jan-92,0
22,Jan-93,0
22,Jan-94,0
22,Jan-96,0
22,Jan-97,0
22,Jun-97,0
22,Jan-98,0
22,Jan-99,0
22,Jan-01,0
22,Jan-02,0
22,Jan-03,
22,Jan-04,
23,Jan-90,0
23,Jan-90,0
23,Jan-91,0
23,Jan-92,0
23,Jan-93,0
23,Jan-94,
23,Jan-96,0
23,Jan-97,0
23,Jun-97,0
23,Jan-98,0
23,Jan-99,2
23,Jan-01,0
23,Jan-02,0
23,Jan-03,0
23,Jan-04,
24,Jan-90,0
24,Jan-90,0
24,Jan-91,0
24,Jan-92,0
24,Jan-93,0
24,Jan-94,0
24,Jan-96,0
24,Jan-97,0
24,Jun-97,0
24,Jan-98,0
24,Jan-99,0
24,Jan-01,0
24,Jan-02,0
24,Jan-03,0
24,Jan-04,
25,Jan-90,0
25,Jan-90,
25,Jan-91,0
25,Jan-92,0
25,Jan-93,0
25,Jan-94,0
25,Jan-96,1
25,Jan-97,0
25,Jun-97,
25,Jan-98,
25,Jan-99,
25,Jan-01,
25,Jan-02,0
25,Jan-03,
25,Jan-04,0
26,Jan-90,0
26,Jan-90,0
26,Jan-91,0
26,Jan-92,0
26,Jan-93,0
26,Jan-94,0
26,Jan-96,
26,Jan-97,0
26,Jun-97,0
26,Jan-98,0
26,Jan-99,0
26,Jan-01,0
26,Jan-02,0
26,Jan-03,
26,Jan-04,
27,Jan-90,0
27,Jan-90,0
27,Jan-91,0
27,Jan-92,0
27,Jan-93,0
27,Jan-94,0
27,Jan-96,0
27,Jan-97,0
27,Jun-97,
27,Jan-98,0
27,Jan-99,
27,Jan-01,0
27,Jan-02,0
27,Jan-03,0
27,Jan-04,0
28,Jan-90,0
28,Jan-90,0
28,Jan-91,0
28,Jan-92,0
28,Jan-93,0
28,Jan-94,0
28,Jan-96,3
28,Jan-97,0
28,Jun-97,
28,Jan-98,0
28,Jan-99,
28,Jan-01,0
28,Jan-02,0
28,Jan-03,0
28,Jan-04,
29,Jan-90,2
29,Jan-90,0
29,Jan-91,0
29,Jan-92,0
29,Jan-93,0
29,Jan-94,0
29,Jan-96,0
29,Jan-97,0
29,Jun-97,0
29,Jan-98,0
29,Jan-99,
29,Jan-01,0
29,Jan-02,0
29,Jan-03,0
29,Jan-04,
30,Jan-90,1
30,Jan-90,
30,Jan-91,0
30,Jan-92,0
30,Jan-93,
30,Jan-94,
30,Jan-96,0
30,Jan-97,
30,Jun-97,
30,Jan-98,0
30,Jan-99,
30,Jan-01,0
30,Jan-02,0
30,Jan-03,0
30,Jan-04,0
31,Jan-90,1225
31,Jan-90,878
31,Jan-91,35
31,Jan-92,1895
31,Jan-93,706
31,Jan-94,
31,Jan-96,2500
31,Jan-97,
31,Jun-97,1322
31,Jan-98,801
31,Jan-99,2562
31,Jan-01,299
31,Jan-02,3240
31,Jan-03,
31,Jan-04,568
32,Jan-90,224
32,Jan-90,224
32,Jan-91,9
32,Jan-92,
32,Jan-93,
32,Jan-94,
32,Jan-96,135
32,Jan-97,860
32,Jun-97,131
32,Jan-98,293
32,Jan-99,422
32,Jan-01,3
32,Jan-02,1
32,Jan-03,256
32,Jan-04,
33,Jan-90,64
33,Jan-90,317
33,Jan-91,29
33,Jan-92,0
33,Jan-93,
33,Jan-94,
33,Jan-96,260
33,Jan-97,298
33,Jun-97,182
33,Jan-98,347
33,Jan-99,700
33,Jan-01,6
33,Jan-02,3
33,Jan-03,134
33,Jan-04,62
34,Jan-90,437
34,Jan-90,1047
34,Jan-91,56
34,Jan-92,45
34,Jan-93,1158
34,Jan-94,
34,Jan-96,129
34,Jan-97,94
34,Jun-97,14
34,Jan-98,310
34,Jan-99,341
34,Jan-01,555
34,Jan-02,62
34,Jan-03,2
34,Jan-04,
35,Jan-90,858
35,Jan-90,448
35,Jan-91,101
35,Jan-92,0
35,Jan-93,1
35,Jan-94,
35,Jan-96,920
35,Jan-97,1290
35,Jun-97,374
35,Jan-98,417
35,Jan-99,116
35,Jan-01,114
35,Jan-02,107
35,Jan-03,399
35,Jan-04,250
36,Jan-90,2
36,Jan-90,0
36,Jan-91,0
36,Jan-92,9
36,Jan-93,8
36,Jan-94,11
36,Jan-96,6
36,Jan-97,86
36,Jun-97,20
36,Jan-98,40
36,Jan-99,20
36,Jan-01,27
36,Jan-02,10
36,Jan-03,12
36,Jan-04,81
37,Jan-90,0
37,Jan-90,0
37,Jan-91,0
37,Jan-92,0
37,Jan-93,
37,Jan-94,0
37,Jan-96,22
37,Jan-97,0
37,Jun-97,27
37,Jan-98,6
37,Jan-99,
37,Jan-01,5
37,Jan-02,0
37,Jan-03,
37,Jan-04,0
38,Jan-90,1542
38,Jan-90,1590
38,Jan-91,112
38,Jan-92,428
38,Jan-93,778
38,Jan-94,354
38,Jan-96,468
38,Jan-97,220
38,Jun-97,82
38,Jan-98,320
38,Jan-99,266
38,Jan-01,119
38,Jan-02,85
38,Jan-03,
38,Jan-04,
39,Jan-90,90
39,Jan-90,128
39,Jan-91,139
39,Jan-92,2
39,Jan-93,86
39,Jan-94,
39,Jan-96,110
39,Jan-97,0
39,Jun-97,471
39,Jan-98,127
39,Jan-99,3
39,Jan-01,
39,Jan-02,0
39,Jan-03,64
39,Jan-04,
40,Jan-90,0
40,Jan-90,0
40,Jan-91,0
40,Jan-92,1
40,Jan-93,0
40,Jan-94,
40,Jan-96,
40,Jan-97,0
40,Jun-97,0
40,Jan-98,0
40,Jan-99,112
40,Jan-01,1
40,Jan-02,0
40,Jan-03,0
40,Jan-04,
41,Jan-90,0
41,Jan-90,0
41,Jan-91,186
41,Jan-92,0
41,Jan-93,0
41,Jan-94,0
41,Jan-96,0
41,Jan-97,458
41,Jun-97,0
41,Jan-98,0
41,Jan-99,
41,Jan-01,0
41,Jan-02,0
41,Jan-03,0
41,Jan-04,
42,Jan-90,0
42,Jan-90,0
42,Jan-91,0
42,Jan-92,0
42,Jan-93,0
42,Jan-94,0
42,Jan-96,1
42,Jan-97,0
42,Jun-97,0
42,Jan-98,0
42,Jan-99,
42,Jan-01,0
42,Jan-02,1
42,Jan-03,0
42,Jan-04,0
43,Jan-90,0
43,Jan-90,0
43,Jan-91,0
43,Jan-92,0
43,Jan-93,
43,Jan-94,0
43,Jan-96,0
43,Jan-97,0
43,Jun-97,
43,Jan-98,0
43,Jan-99,
43,Jan-01,
43,Jan-02,0
43,Jan-03,0
43,Jan-04,
44,Jan-90,0
44,Jan-90,0
44,Jan-91,0
44,Jan-92,0
44,Jan-93,0
44,Jan-94,
44,Jan-96,0
44,Jan-99,0
44,Jun-97,0
44,Jan-98,0
44,Jan-00,
44,Jan-01,0
44,Jan-02,0
44,Jan-03,188
44,Jan-04,
45,Jan-90,0
45,Jan-90,0
45,Jan-91,1
45,Jan-92,0
45,Jan-93,0
45,Jan-94,
45,Jan-96,0
45,Jan-97,0
45,Jun-97,
45,Jan-98,
45,Jan-99,
45,Jan-01,0
45,Jan-02,1
45,Jan-03,0
45,Jan-04,0
46,Jan-90,0
46,Jan-90,0
46,Jan-91,0
46,Jan-92,0
46,Jan-93,
46,Jan-94,0
46,Jan-96,0
46,Jan-97,0
46,Jun-97,
46,Jan-98,
46,Jan-99,
46,Jan-01,0
46,Jan-02,0
46,Jan-03,0
46,Jan-04,0
47,Jan-90,0
47,Jan-90,0
47,Jan-91,0
47,Jan-92,0
47,Jan-93,40
47,Jan-94,
47,Jan-96,0
47,Jan-97,274
47,Jun-97,30
47,Jan-98,14
47,Jan-99,25
47,Jan-01,1
47,Jan-02,0
47,Jan-03,0
47,Jan-04,
48,Jan-90,0
48,Jan-90,0
48,Jan-91,0
48,Jan-92,0
48,Jan-93,0
48,Jan-94,
48,Jan-96,0
48,Jan-97,2
48,Jun-97,0
48,Jan-98,0
48,Jan-99,
48,Jan-01,0
48,Jan-02,0
48,Jan-03,0
48,Jan-04,
49,Jan-90,0
49,Jan-90,0
49,Jan-91,0
49,Jan-92,0
49,Jan-93,0
49,Jan-94,0
49,Jan-96,0
49,Jan-97,0
49,Jun-97,0
49,Jan-98,0
49,Jan-99,
49,Jan-01,0
49,Jan-02,0
49,Jan-03,0
49,Jan-04,
50,Jan-90,0
50,Jan-90,0
50,Jan-91,0
50,Jan-92,0
50,Jan-93,0
50,Jan-94,
50,Jan-96,0
50,Jan-97,0
50,Jun-97,0
50,Jan-98,0
50,Jan-99,
50,Jan-01,
50,Jan-02,0
50,Jan-03,0
50,Jan-04,0
