Date,Rep,Day,Treatment,Initial_ Chl,Removed_Water,Added_Distilled,Added_Algae,Final_Chl,Temp,Avg_Chl,Population,Observer,Total Vol,Refiltered,blank,notes
June_4,1,1,3,3.348,,,,,22.1,3.348,1,JW/AC,,,-0.465,total 30
June_5,1,2,3,2.96,0,0,0,,21.5,2.96,,JH,,,-0.443,
June_6,1,3,3,2.419,0,170,2,3.192,20.6,2.8055,,JH,,,0.514,
June_7,1,4,3,3.324,0,0,0,3.324,20.5,3.324,,JH,,,-0.501,
June_8,1,5,3,2.599,0,0,0,,20.7,2.599,,AC,,,-0.357,
June_9,1,6,3,3.332,0,0,0,,21.2,3.332,,JW,,,-0.448,
June_10,1,7,3,4.38,0,150,0,3.793,21.2,4.0865,,JW,,,-0.471,
June_11,1,8,3,2.672,0,0,0,,21.7,2.672,3,AP/JW,1050,,-0.461,copepods
June_11,1,8,3,2.672,0,0,0,,21.7,2.672,9,AP/JW,,,-0.461,
June_11,1,8,3,2.672,0,0,0,,21.7,2.672,5,AP/JW,,,-0.461,
June_11,1,8,3,2.672,0,0,0,,21.7,2.672,1,AP/JW,,,-0.461,
June_11,1,8,3,2.672,0,0,0,,21.7,2.672,3,AP/JW,,,-0.461,
June_11,1,8,3,2.672,0,0,0,,21.7,2.672,7,AP/JW,,,-0.461,
June_11,1,8,3,2.672,0,0,0,,21.7,2.672,5,AP/JW,,,-0.461,
June_11,1,8,3,2.672,0,0,0,,21.7,2.672,7,AP/JW,,,-0.461,
June_12,1,9,3,2.735,0,0,2,2.905,20.8,2.82,,JH,,,-0.385,
June_13,1,10,3,3.81,10,10,0,3.277,21.4,3.5435,,JH,,,-0.425,
June_14,1,11,3,2.978,0,0,0,,20.9,2.978,,JH,,,0.587,
June_15,1,12,3,1.905,0,0,2,3.209,20.9,2.557,,AC,,,,
June_16,1,13,3,3.086,0,0,0,,20.6,3.086,,JW,,,0.369,
June_17,1,14,3,2.021,0,50,2,3.359,21.6,2.69,,JW,,,-0.345,
June_18,1,15,3,2.67,0,0,0,,22.6,2.67,7,AP/JW,890,,0.015,
June_18,1,15,3,2.67,0,0,0,,22.6,2.67,14,AP/JW,,,0.015,
June_18,1,15,3,2.67,0,0,0,,22.6,2.67,13,AP/JW,,,0.015,
June_18,1,15,3,2.67,0,0,0,,22.6,2.67,15,AP/JW,,,0.015,
June_18,1,15,3,2.67,0,0,0,,22.6,2.67,19,AP/JW,,,0.015,
June_18,1,15,3,2.67,0,0,0,,22.6,2.67,13,AP/JW,,,0.015,
June_18,1,15,3,2.67,0,0,0,,22.6,2.67,11,AP/JW,,,0.015,
June_18,1,15,3,2.67,0,0,0,,22.6,2.67,13,AP/JW,,,0.015,
June_19,1,16,3,2.35,0,210,4,3.265,21.4,2.8075,,JH,,,-0.38,
