citation,location,lat,long,exact,collection_year,months,rep,temp,temp_units,feeding_rate,excretion_rate,fecundity,fecundity_standard_error,unit_fec,growth_rate,survival,survival_se,survival_units,food_type,food_amnt,size,size_sd,unit_size,,collected_by,Notes
"Abbas, M. F., and S. G. Ajeel. ""Diversity of Cladocera of the Shatt Al-Arab River, Southern Iraq."" Mesopotamian Journal of Marine Science 27.2 (2014): 126-139.","shatt al arab river, Iraq",30.87428,47.528749,n,2008,all year,,,,,,,,,,,,,,,,,,,JW,
"Abu-Gideiri, Y. B., and M. T. Ali. ""A preliminary biological survey of Lake Nubia."" Hydrobiologia 46.4 (1975): 535-541.","Lake Nubia, Sudan",21.954437,31.331472,n,1971-72,all year,,,,,,,,,,,,,,,,,,,JW,
"Ajeel, S. G., A. A. Douabul, and M. F. Abbas. ""Seasonal Variations of Zooplankton in Al-Hammar Marsh-Southern Iraq."" J Ecosys Ecograph 5.173 (2015): 2.","31° 00' 15"" N, and longitude 47° 26' 35"" E-- not sure where these numbers came from, relooked on map and matched",30.621376,47.667389,n,1996-97,all year,,,,,,,,,,,,,,,,,,,JW,
"ANNANDALE, N. ""THE FA UNA 0 It BRA CK ISH PO NDS Ai'PORT CANNING, LOWER BENGAL.""","port canning, India",22.317567,88.675698,n,,late 1890s…,,,,,,,,,,,,,,,,,,,JW,
"Arcifa, Marlene Sofia. ""Zooplankton composition of ten reservoirs in southern Brazil."" Hydrobiologia 113.1 (1984): 137-145."," Americana, Sao paulo state, Brazil",-22.725253,-47.336106,n,,,,,,,,,,,,,,,,,,,,,JW,combined c. cornuta and c.rigaudi
"Arcifa, Marlene Sofia. ""Zooplankton composition of ten reservoirs in southern Brazil."" Hydrobiologia 113.1 (1984): 137-145.","Atibainha, Sao paulo state, Brazil",-23.085509,-46.28816,n,,,,,,,,,,,,,,,,,,,,,JW,combined c. cornuta and c.rigaudi
"Arcifa, Marlene Sofia. ""Zooplankton composition of ten reservoirs in southern Brazil."" Hydrobiologia 113.1 (1984): 137-145.","Cachoeira, Sao paulo state, Brazil",-22.664826,-45.009073,n,,,,,,,,,,,,,,,,,,,,,JW,combined c. cornuta and c.rigaudi
"Arcifa, Marlene Sofia. ""Zooplankton composition of ten reservoirs in southern Brazil."" Hydrobiologia 113.1 (1984): 137-145.","Felix Guisard, Sao paulo state, Brazil",-22.99872,-45.627313,n,,,,,,,,,,,,,,,,,,,,,JW,combined c. cornuta and c.rigaudi
"Arcifa, Marlene Sofia. ""Zooplankton composition of ten reservoirs in southern Brazil."" Hydrobiologia 113.1 (1984): 137-145.","Jaguari, Sao paulo state, Brazil",-23.491702,-46.310321,n,,,,,,,,,,,,,,,,,,,,,JW,combined c. cornuta and c.rigaudi
"Arcifa, Marlene Sofia. ""Zooplankton composition of ten reservoirs in southern Brazil."" Hydrobiologia 113.1 (1984): 137-145.","Paraibuna, Sao paulo state, Brazil",-23.387575,-45.662922,n,,,,,,,,,,,,,,,,,,,,,JW,combined c. cornuta and c.rigaudi
