measure,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Temp,Jan-90,25.2,25.1,24.4,26.7,25.4,26.4,24.9,26.1,25.9,25.9,25.0,25.3,25.3,25.9,26.9,25.5,25.6,25.8,27.1,26.8,26.3,26.8,27.1,25.1,26.9,26.4,25.5,24.7,25.5,23.8,24.1,24.2,24.1,24.4,24.8,24.2,24.6,24.7,24.9,25.2,26.9,28.7,27.9,29.5,26.2,26.3,24.8,28.2,26.3
Sal,Jan-90,3.3,2.5,1.8,14.5,15.0,6.3,1.8,2.0,17.3,7.8,15.0,9.2,3.0,13.0,23.7,20.8,19.5,19.5,24.0,15.2,18.7,14.2,17.5,3.0,17.8,9.3,10.7,16.8,2.5,1.8,1.5,1.5,1.5,1.5,4.8,1.3,1.0,1.5,9.8,4.0,3.0,4.2,1.0,2.0,2.2,1.0,14.8,18.7,20.5
Temp,Jan-91,25.0,24.8,24.4,26.3,26.0,29.1,25.3,26.8,26.3,26.7,25.2,25.3,25.9,26.7,27.6,25.9,25.2,26.2,28.8,28.4,29.6,27.9,28.9,25.9,27.3,27.1,26.5,25.9,25.6,23.9,24.2,24.7,24.4,25.3,25.4,24.4,25.5,25.5,25.5,25.7,28.3,29.9,29.5,29.7,28.0,25.9,25.3,29.6,27.4
Sal,Jan-91,4.8,1.3,2.5,9.0,11.3,4.3,0.3,2.8,11.3,4.0,11.5,10.5,2.0,8.5,10.2,19.8,11.3,13.8,13.2,11.0,18.3,12.0,11.8,2.0,11.7,4.7,1.8,12.3,1.0,1.7,1.0,1.0,0.7,0.7,1.0,0.5,0.7,0.7,7.7,1.0,1.3,4.8,0.7,0.5,4.0,0.7,15.8,17.0,18.5
Oxy,Jan-91,8.2,7.8,6.7,9.0,12.3,8.4,9.6,12.9,5.4,12.3,6.0,6.5,10.1,10.1,12.5,5.6,5.5,7.7,13.1,12.1,14.1,14.0,12.4,11.0,8.7,7.2,11.5,6.5,11.1,1.4,4.0,4.9,5.0,6.6,6.9,5.3,10.7,13.2,5.4,14.2,14.2,9.8,13.2,4.6,14.4,5.8,12.4,15.0,11.3
pH,Jan-91,8.6,8.2,8.5,8.3,9.2,8.5,9.1,9.4,8.5,9.2,8.0,8.8,8.8,8.5,9.1,8.1,8.3,8.5,9.3,9.2,9.0,9.5,9.7,9.3,8.6,8.7,9.4,8.1,9.8,7.7,8.1,7.9,7.8,8.0,8.2,7.9,8.4,9.1,8.0,9.1,9.7,9.1,9.2,8.2,10.6,8.3,8.9,9.1,8.5
Temp,Jan-92,25.0,25.0,24.0,25.0,26.0,33.0,,27.0,25.0,26.0,24.5,,27.0,27.0,,25.0,25.0,27.0,25.5,24.5,26.0,,27.5,,27.5,26.5,25.0,23.5,,24.0,,,24.0,25.0,26.0,,25.0,26.5,25.0,27.0,26.0,,30.0,,,25.0,24.5,29.0,26.0
Sal,Jan-92,29.0,33.0,19.0,30.0,25.0,62.0,,30.0,28.0,36.0,28.0,,31.0,39.0,,24.0,24.0,24.0,39.0,36.0,21.0,,23.5,,86.0,86.0,29.0,29.0,,2.0,,,0.0,0.0,1.0,,0.0,12.5,22.0,2.5,8.0,,1.0,,,7.5,28.0,20.0,19.5
Oxy,Jan-92,7.8,8.0,4.7,8.0,11.3,8.4,,13.8,4.9,7.2,6.4,,6.8,10.0,,8.0,4.3,7.5,9.2,6.7,6.6,,10.1,,6.2,2.4,7.2,4.2,,1.5,,,6.7,3.1,6.4,,11.0,9.6,5.5,13.1,4.3,,9.1,,,8.1,9.5,15.0,15.0
