"","daphnia_reproduction","sd_repro","units_reproduction","Replicates","algal_conc","Authors"
"1",3.875,NA,"per indiv per day","1","","Knops, Altenburger, Segner"
"2",3.32,0.16,"per indiv per day","4","10^9 cells/mL","Bodar et al 1988"
"3",1.457142857,0.457142857,"per indiv per day","10","yeast","Brausch et al 2010"
"4",2.161904762,0.476190476,"per indiv per day","10","yeast","Brausch et al 2010"
"5",4.947619048,0.737864787,"per indiv per day","10","10^8 cells/ml","Bridges et al 1996"
"6",3.192857143,0.128095238,"per indiv per day","15","5*10^5 cells/ml","Fernandez-Casalderrey, Ferrando, and Andreu-Moliner 1993"
"7",1.428571429,1.023975623,"per indiv per day","10","10^7 cells/60ml","Haeba et al 2008"
"8",7,1.160555901,"per indiv per day","10","yeast and algae","Hayashi et al 2008"
"9",6.271428571,1.383208338,"per indiv per day","15","5*10^5 cells/ml","Sancho, Villarroel and Ferrando 2016"
"10",6.271428571,0.719047619,"per indiv per day","15","NR","Villarroel et al 2003"
"11",3.238095238,0.225876976,"per indiv per day","10","100 ug carbon/Daphnid","Zeman et al 2008"
"12",9.603333333,1.252857143,"per indiv per day","10","NR","Zhu, Chang, and Chen 2010"
