Rep,Treatment,control,Time_chl_1,Chl_time_1,chl1,Time_nh4_1,Nh4_time_1,nh41,ph1,temp1,Time_chl_2,Chl_time_2,chl2,Time_nh4_2,Nh4_time_2,Chl_Time_Diff,Nh4_Time_Diff,nh42,ph2,temp2,Num_Daphnia,baby,dead,date
1,1,1,823,8:23:00 AM,9.034,905,9:05:00 AM,9.32,7.4,20.1,1408,2:08:00 PM,5.614,1423,2:23:00 PM,345.00,318.00,10.04,7.4,20,18,,,11_7_2017
2,1,1,941,9:41:00 AM,8.134,1036,10:36:00 AM,9.61,7.3,19.8,1535,3:35:00 PM,6.12,1544,3:44:00 PM,354.00,308.00,12.26,7.4,20.1,18,3,,11_7_2017
3,1,1,850,8:50:00 AM,8.456,943,9:43:00 AM,9.9,7.3,20.3,1435,2:35:00 PM,5.131,1445,2:45:00 PM,345.00,302.00,9.47,7.4,19.6,16,3,,11_7_2017
4,1,1,736,7:36:00 AM,9.874,746,7:46:00 AM,12.77,7.2,20.8,1335,1:35:00 PM,6.42,1340,1:40:00 PM,359.00,354.00,10.32,7.3,20.5,23,1,,11_7_2017
5,1,1,1034,10:34:00 AM,8.914,1100,11:00:00 AM,10.62,7.5,19.4,1633,4:33:00 PM,8.253,1638,4:38:00 PM,359.00,338.00,8.78,7.4,20.3,17,1,,11_7_2017
6,1,2,916,9:16:00 AM,7.926,1016,10:16:00 AM,9.98,7.4,19.3,1506,3:06:00 PM,5.629,1516,3:16:00 PM,350.00,300.00,9.2,7.4,20.2,0,,,11_7_2017
7,1,2,1130,11:30:00 AM,8.442,1158,11:58:00 AM,9.27,7.6,19.6,1716,5:16:00 PM,8.662,1743,5:43:00 PM,346.00,345.00,10.26,7.6,20.4,0,,,11_7_2017
8,1,2,1146,11:46:00 AM,8.134,1227,12:27:00 PM,11.63,7.6,19.5,1741,5:41:00 PM,7.51,1816,6:16:00 PM,355.00,349.00,11.36,7.5,20,0,,,11_7_2017
9,2,1,1112,11:12:00 AM,13.97,1139,11:39:00 AM,10.1,7.4,20.4,1711,5:11:00 PM,8.356,1723,5:23:00 PM,359.00,344.00,13.42,7.5,19.9,21,,,11_7_2017
10,2,1,803,8:03:00 AM,14.93,831,8:31:00 AM,11.44,7.4,19.8,1401,2:01:00 PM,5.95,1405,2:05:00 PM,358.00,334.00,10.22,7.4,20,21,1,,11_7_2017
