TankNum,Month,Day ,Year,ExptDay,DaphniaC1Adult,DaphniaC1Juv,DaphniaC2Adult,DaphniaC2Juv,DaphniaC3,DaphniaC3Juv,DaphniaC4Adult,DaphniaC4Juv,CerioC1,CerioC2,CerioC3,CerioC4,Invaded (Y/N),Species1,Count1,Species2,Count2,Snails,Liters,Notes,Observer,EnteredBy,CheckedBy
1,January,21,2019,1,1,0,1,0,1,0,1,0,,,,,n,,,,,,1,,jw,jw,Ofure
1,January,24,2019,4,0,0,3,1,0,1,0,0,,,,,n,,,,,,1,,jw,jw,Ofure
1,January,28,2019,8,1,0,5,1,3,0,0,3,,,,,n,,,,,,1.1,,jw,jw,Ofure
1,January,31,2019,11,2,6,2,8,4,10,2,3,,,,,n,,,,,,0.95,,jw,jw,Ofure
1,February,4,2019,15,9,22,4,25,4,18,5,20,,,,,n,,,,,,0.775,,jw,jw,Ofure
1,February,7,2019,18,21,32,17,24,10,22,10,24,,,,,n,,,,,,0.75,,jw,jw,Ofure
1,February,11,2019,22,26,56,28,36,30,39,18,44,,,,,n,,,,,,0.56,,jw,jw,Ofure
1,February,14,2019,25,35,73,44,82,43,84,36,85,,,,,n,,,,,,0.68,,jw,jw,Ofure
1,February,18,2019,29,42,113,34,143,39,112,19,52,,,,,n,,,,,,0.52,,jw,jw,Ofure
1,February,21,2019,32,29,90,13,86,24,90,20,125,,,,,n,,,,,,0.54,,jw,jw,Ofure
1,February,25,2019,36,32,56,37,66,27,82,36,60,,,,,n,,,,,,0.48,,jw,jw,Ofure
1,February,28,2019,39,56,67,35,29,41,31,29,34,,,,,n,,,,,,0.5,,jw,jw,Ofure
2,January,21,2019,1,0.5,0,0.5,0,0.5,0,0.5,0,3,3,3,3,n,,,,,4,1,,jw,jw,Ofure
2,January,24,2019,4,0,0,1,0,1,0,0,0,0,0,0,0,n,,,,,4,0.9,,jw,jw,Ofure
2,January,28,2019,8,3,0,0,0,1,0,1,0,0,0,0,0,n,,,,,2,1.07,,jw,jw,Ofure
2,January,31,2019,11,3,2,1,2,1,1,4,0,0,0,0,0,y,copepod,1,,,0,0.85,,jw,jw,Ofure
2,February,4,2019,15,6,15,1,17,3,23,1,16,0,0,0,0,y,copepod,35,,,0,0.75,,jw,jw,Ofure
2,February,7,2019,18,9,58,5,49,8,50,11,34,0,0,0,0,y,copepod,12,,,0,0.7,,jw,jw,Ofure
2,February,11,2019,22,16,47,28,41,38,26,25,44,0,0,0,0,y,copepod,6,,,0,0.6,,jw,jw,Ofure
2,February,14,2019,25,35,55,37,59,39,36,71,45,0,0,0,0,y,copepod,10,,,0,0.56,,jw,jw,Ofure
2,February,18,2019,29,44,46,42,69,41,60,52,75,0,0,0,0,y,copepod,6,,,0,0.56,,jw,jw,Ofure
2,February,21,2019,32,138,102,80,73,66,93,111,76,0,0,0,0,y,copepod,5,,,0,0.5,,jw,jw,Ofure
2,February,25,2019,36,79,60,72,100,88,82,92,109,0,0,0,0,y,copepod,9,,,0,0.46,,jw,jw,Ofure
2,February,28,2019,39,84,75,109,104,78,101,110,69,0,0,0,0,y,copepod,11,,,0,0.46,,jw,jw,Ofure
3,January,21,2019,1,0.5,0,0.5,0,0.5,0,0.5,0,3,3,3,3,n,,,,,4,1,,jw,jw,Ofure
3,January,24,2019,4,2,0,0,0,0,0,0,0,0,1,0,0,n,,,,,2,1,,jw,jw,Ofure
3,January,28,2019,8,3,2,1,1,0,0,0,1,1,0,0,2,n,,,,,3,1.07,,jw,jw,Ofure
3,January,31,2019,11,1,0,0,0,3,0,1,1,0,0,0,0,n,,,,,4,0.8,,jw,jw,Ofure
3,February,4,2019,15,2,13,3,9,0,13,0,10,0,0,0,0,y,copepod,1,,,4,0.8,,jw,jw,Ofure
3,February,7,2019,18,9,21,8,20,11,30,10,25,0,0,0,0,n,,,,,4,0.75,,jw,jw,Ofure
3,February,11,2019,22,21,35,7,45,26,52,18,45,0,0,0,0,n,,,,,3,0.68,,jw,jw,Ofure
3,February,14,2019,25,12,49,20,47,32,38,28,50,0,0,0,0,y,copepod,2,,,3,0.64,,jw,jw,Ofure
3,February,18,2019,29,37,101,24,81,38,62,17,85,0,0,0,0,n,,,,,3,0.56,,jw,jw,Ofure
3,February,21,2019,32,6,76,24,62,28,69,22,50,0,0,0,0,n,,,,,3,0.56,,jw,jw,Ofure
3,February,25,2019,36,13,45,5,40,8,29,16,42,0,0,0,0,n,,,,,2,0.58,,jw,jw,Ofure
3,February,28,2019,39,21,33,32,25,12,17,23,25,0,0,0,0,y,copepod,1,,,2,0.46,,jw,jw,Ofure
4,January,21,2019,1,0.5,0,0.5,0,0.5,0,0.5,0,3,3,3,3,n,,,,,,1,,jw,jw,Ofure
4,January,24,2019,4,1,2,1,2,0,1,0,1,1,1,2,0,n,,,,,,1.1,,jw,jw,Ofure
4,January,28,2019,8,1,2,0,0,1,0,2,3,1,0,3,2,n,,,,,,1.13,,jw,jw,Ofure
4,January,31,2019,11,2,1,3,4,1,0,5,3,0,1,0,1,n,,,,,,,,jw,jw,Ofure
4,February,4,2019,15,5,10,1,11,6,13,0,8,1,0,1,0,n,,,,,,0.95,,jw,jw,Ofure
4,February,7,2019,18,16,9,5,17,8,24,7,20,0,0,0,0,n,,,,,,0.8,,jw,jw,Ofure
4,February,11,2019,22,14,36,12,39,26,15,20,41,0,0,1,0,n,,,,,,0.8,,jw,jw,Ofure
4,February,14,2019,25,16,38,18,118,14,50,30,52,0,0,0,0,y,copepod,1,,,,0.7,,jw,jw,Ofure
4,February,18,2019,29,38,91,53,73,28,93,62,106,0,0,0,0,n,,,,,,0.62,,jw,jw,Ofure
4,February,21,2019,32,38,98,45,125,34,114,38,98,0,0,0,0,n,,,,,,0.62,,jw,jw,Ofure
4,February,25,2019,36,57,57,55,49,64,76,75,71,0,0,0,0,n,,,,,,0.62,,jw,jw,Ofure
4,February,28,2019,39,110,40,141,52,109,39,84,41,0,0,0,0,y,copepod,3,,,,0.62,,jw,jw,Ofure
5,January,21,2019,1,1,0,1,0,1,0,1,0,,,,,n,,,,,4,1,,jw,jw,Ofure
5,January,24,2019,4,0,0,0,0,3,3,1,2,,,,,n,,,,,5,1,,jw,jw,Ofure
