"","Replicates","Excretion.rate","sd_error_excretion","units_excretion","algal_conc"
"1","4",2.2,0.2,"umol per gram per hour",""
"2","2",3.133333333,0.160277537,"ug per liter per hour per indiv",""
"3","2",4.173333333,0.150849447,"ug per liter per hour per indiv",""
"4","5",13,22,"nmol ammonium per mg dry weight per hour",""
"5","5",20,4,"nmol ammonium per mg dry weight per hour",""
"6","5",35,16,"nmol ammonium per mg dry weight per hour",""
"7","5",17,3,"nmol ammonium per mg dry weight per hour",""
"8","5",20,4,"nmol ammonium per mg dry weight per hour",""
"9","5",34,8,"nmol ammonium per mg dry weight per hour",""
"10","5",18,11,"nmol ammonium per mg dry weight per hour",""
"11","5",28,12,"nmol ammonium per mg dry weight per hour",""
"12","5",21,3,"nmol ammonium per mg dry weight per hour",""
"13","12",80.5,42.95486003,"nmol_N per mg per hour per indiv",""
"14","12",41.3,17.66691824,"nmol_N per mg per hour per indiv",""
"15","4",21.7,11.8,"nmol_N per mg per hour per indiv",""
"16","3",0.76,0.103923048,"ug per mg per hour per dry wt",""
"17","3",0.45,0.346410162,"ug per mg per hour per dry wt",""
