citation,Title,Search,Data Extracted,Data Type,Why N,action?
Abou-Waly et al 1991,"Growth Response of Freshwater Algae, Anabaena flosquae and Selenastrum capricornutum to Atrazine and Hexazinone Herbicides",death rate,yes,Growth rate,No death,
Allen et al. 1993,Individual and population level consequences of an algal epibiont on Daphnia,death rate,N,,Diatoms,
Anastacio et al. 1999,"CRISP (crayfish and rice integrated system of production): Modelling water, algae and oxygen dynamics",death rate,N,,all from other papers,"look for Bowie, G.L., Mills, W.B. Porcella, D.B. Campbell C.L. Pagenkopf, J.R. Rupp, G.L. Johnson, KM. Chan, P.W.H. Gherini, S.A., Chamberlain C.E. 1985. Rates, Constantsand Kinetics formulations in surface water modelling. United States Environmental Protection Agency—Environmental Research Laboratory EPA:600:3-85:040, Athens, USA. pp. 455 "
Balayla and Moss 2004,Relative importance of grazing on algae by plant associated and open-water microcrustacea,death rate,N,,"clearance rates of Daphnia hyalina (so maybe worth it if don't get enough D. magna), no death",
Banse 1991,Rates of phytoplankton cell division in the field and iron enrichment experiments,death rate,N,,diatoms,
Barbosa et al 2003,Overcoming Shear Stress of Microalgae cultures in sparged photobioreactors,death rate,yes,Death rate,,"Could get growth rate, but species are both saline"
Beklioglu and Moss 1995,"The impact of pH on interactions amond phytoplankton algae, zooplankton and perch (Perca fluviatilis) in a shallow, fertile lake",death rate,N,,"No rates, no algae alone",
Bontje et al 2009,Modelling long-term ecotoxicological effects on an algal population under dynamic nutrient stress,death rate,yes,Growth rate,,maybe can help reparameterize
Bontje et al 2009,Modelling long-term ecotoxicological effects on an algal population under dynamic nutrient stress,death rate,yes,Half- saturation uptake,,maybe can help reparameterize
Borodulina et al 2011,Effect of Oil-Pollution of Water on Delayed flourescence of the algae Chlorella vulgaris Beijer and survival rate of the Cladoceran Daphnia magna str.,death rate,N,,No rates,maybe can get Daphina survival curves
Brock 1971,Microbial Growth rates in nature,death rate,N,,"no rates, mostly methods",
DeLong and Hanson 2011,"Warming alters density dependence, energetic fluxes, and population size in a model algae",death rate,MAYBE??,,have graphs of birth and growth rate,
Estrada et al. 2009,Addressing the control problem of algae growth in water reservoirs with advance dynamic optimizaiton approaches,death rate,N,,all params from other papers,"Estrada, Parodi & Diaz 2007,2008, Estrada and Diaz 2009"
Estrada et al. 2009,Determination of biogeochemical parameters in eutrophication models with simultaneous dynamic optimization approaches,FROM OTHER PAPER,yes,Growth rate,,
Estrada et al. 2009,Determination of biogeochemical parameters in eutrophication models with simultaneous dynamic optimization approaches,FROM OTHER PAPER,yes,Death rate,,
Estrada and Diaz 2010,Global sensitivity analysis in the development of first principal-based eutrophication models,FROM OTHER PAPER,yes,Nitrification,,
Fonge et al 1994,A Simulation of Lagoon Algae based on nitrogen competition and internal storage,death rate,N,,marine- but if need more see Eppley and Thomas 1969 for half sat param for lots of marine algae,
Franklin et al 2006,What is the role and nature of programmed cell death in phytoplankton ecology,death rate,N,,"no rates, more behaviorial/cellular",
"Genkai-Kato, 2004",Nutritional value of algea: a critical control on the stability of Daphnia-algal systems,death rate,yes,Death rate,see Somer 1989 for algal max growth and half saturation,
Sommer 1989,"Nutrient status and nutrient competition of phytoplankton in a shallow, hypertrophic lake",FROM OTHER PAPER,yes,"Half- saturation uptake, Max uptake",,
Gopinathan,Differential Growth Rates of micro-algae in various culture media,death rate,N,,marine,
"Haney and Jackson, 1996",Modeling phytoplakton growth rates,death rate,N, ,data from Fasham et al 1990,
Fasham et al 1900,A nitrogen-based model of plankton dynamics in the oceanic mixed layer,FROM OTHER PAPER,yes,"Half-saturation, death rate",,"took because so much but it is marine, also has zooplankton excretion information but didn't take in hopes of getting strictly D. magna later"
Healey and Hendzel 1975,Effect of phosphorus deficiency on two algae growing in chemostats,death rate,N,,no controls? -so only p limited growth,
Hecky and Fee 1981,Primary production and rates of algal growth in Lake Tanganyika,death rate,yes,Growth rate,,
Hersh and Crumpton 1987,Determination of growth rate depression of some green algae by atrazine,death rate,yes,Growth rate,,
Hongping and Jianyi 2002,Study on the algal dynamic model for west lake Hangzhou,death rate,yes,Growth rate,,
Hulot et al 2000,Functional diversity governs ecosystem response to nutrient enrichment,death rate,N,,no parameters,
"Jayaraman and Rhinehart, 2015",Modeling and control policy optimization of algae growth,death rate,N,,parameters for Selvaratnam et al 2014 and Selvaratnam et al 2015,
Selvaratnam et al 2014,"Evaluation of a thermo-tolerant acidophilic alga, Galdieria sulphuraria, for nutrient removal from urban wastewaters",FROM OTHER PAPER,N,,red algae but leads to other paper Cabaneles et al. 2013,
Selvaratnam et al 2015,Feasibility of algal systems for sustainable wastewater treatment,FROM OTHER PAPER,N,,red algae,
Cabanelas et al 2013,From waste to energy: microalgae production in wastewater and glycerol,FROM OTHER PAPER,yes,Nitrogen uptake,,
"Jayaraman and Rhinehart, 2015a",Modeling and optimization of algae growth,death rate,N,,red algae,
Jia et al 2010,The development of a multi-species algal ecodynamic model for urban surface water systems and its application,death rate,yes,"Nitrification, max growth rate, half saturation",,"took data for other parameters from (Jia andCheng,2002;PeiandMa,2002; Richard andJonathan,2004;RobsonandHamilton,2004;Wanget al.,2006)."
Kretzschmar et al. 1993,A predator-prey model for zooplankton grazing on competing algal populations,death rate,N,,exploration of parameter space,
Labine and Wilson 1973,A teaching model of population interactions: an algae-daphnia-predator system,death rate,N,,"no fitting or direct measurements, maybe worth looking at equations when going over daphnia models",
Lehman and Sandgren 1985,Species-specific rates of growth and grazing loss among freshwater algae,death rate,N,,competition included,
Liebig et al 2008,Direct and indirect effects of pollutants on algae and algivorous ciliates in an aquatic microcosm,death rate,yes,Growth rate,,
Marshall and Huang 2010,Simulation of light-limited algae growth in homogeneous turbulence,death rate,N,,model is mostly about photosynthesis,
McCauley et al. 1988,Simple models and variation in plankton densities among lakes,death rate,N,,parameter exploration,
McCormick and Stevenson 1991,Mechanisms of benthic algal successionin lotic environments,death rate,N,,diatoms ,
Mesple et al 1993,Some difficulties in modelling chlorophyll a evolution in a high rate algal pond ecosystem,death rate,yes,Growth rate,"mortality rate from sciandra 1986, also site others for zooplankton uptake ",
Nag-Jong et al 2002,Simple Monodimensional Model for Linear Growth Rate of Photosynthetic microorganisms in flat-plate photobioreactors,death rate,yes,Growth rate ,,
Nielson 2006,Size-dependent growth rates in eukaryotic and prokaryotic algae exemplified by green algae and cyanobacteria: comparisons between unicells and colonial growth forms,death rate,N,,maybe has growth rate a bit unclear about what slope and point estimates mean though,
Niklas 2007,Sizing up life and death,death rate,N,,review,
Obrien 1974,The Dynamics of Nutrient Limitation of Phytoplankton Algae: A Model Reconsidered,death rate,N,,parameter exploration,
Peterson 1975,The Paradox of the Plankton: An Equilibrium Hypothesis,death rate,N,,parameter exploration,
Rarrek et al 2016,Simulation and optimization of large open algae ponds,death rate,yes,"Growth rate, death rate",,
Schindler 1968,"Feeding, Assimilation and Respiration Rates of Daphnia magna Under VariousEnvironmental Conditions and their Relation to Production Estimates",death rate,N,,no algal info. Maybe come back for daphnia,
Sciandra 1986,STUDY AND MODELLING OF A SIMPLE PLANKTONIC SYSTEM reconstituted in an experimental microcosm,death rate,N,,marine species,
Shigesada and Okubo 1981,Analysis of the Self-Shading Effect on Algal Vertical distribution in natural waters,death rate,N ,,mathematical solutions and parameter explorations,
Skanes et al 2008,H2 production from marine and freshwater species of green algae during sulfur deprivation and considerations for bioreactor design,death rate,N,,no rates or growth curves,
Thornton et al,Modeling and Optimization of Algae Growth,death rate,N,,"parameters from literature see: J. Huisman, H.C.P. Matthijs, P.M. Visser, H. Balke, C.A.M. Signon, J. Passarge, and L.R. Mur. Principles of the light-limited chemostat: theory and ecological applications. Antonie van Leeuwenhoek, 81(1-4):117{133, 2002.",
Tilman 1981,TESTS OF RESOURCE COMPETITION THEORY USING FOUR SPECIES OF LAKE MICHIGAN ALGAE',death rate,N,,diatoms,
Vadstein et al 1993,The role of planktonic bacteria in phosphorus cycling in lakes - sink and link,death rate,N,,no rates,
Vanrolleghem et al 2001,River water quality model no 1 (RWQM1): III Biochemical submodel selection,death rate,N,,not about rates,
Vonshak and Maske,Algae:Growth techniques and biomass production,death rate,N,,does have doubling time but no fits,
Wefer 1980,"Carbonate production by algae Halimeda, Penicillus and Padina",death rate,N,,marine species,
Whitehead and Hornberger 1984,Modelling algal behaviour in the river thames,death rate,yes,"Growth rate, death rate","suggests: Swale 1962, Bowles 1978, Lund 1949",
whitehead and Williams,Modelling nitrate and algal behaviour in the river thames,death rate,N,,about nitrate retention,
Wolfe et al 1986,A computer simulation model of the solar-algae pond ecosystem,death rate,N,,mostly about fish,
Wooton and Power 1993,"Productivity, consumers, and the structure of a river chain",death rate,N,,grazing in all treatments,
Yao et al 2010,A model and experimental study of phosphate uptake kinetics in algae: Considering surface adsoption and P-stress,death rate,yes,Growth rate,,
Yi et al 2016,Global sensitivity analysis of a three-dimensional nutrients-algae dynamic model for a large shallow lake,death rate,yes,"Growth rate, nitrogen half saturation",,
Jia and Cheng 2002,Spatial and dynamic simulation for Miyun Reservoir waters in Beijing,FROM OTHER PAPER,N,,no growth curves of lake,
Huisman et al 2002,Principals of the light-limited chemostat: theory and ecological application,FROM OTHER PAPER,yes,Growth rate,,
Lund 1949,Studies on Asterionella: I. The Origin and Nature of the cells producing seasonal maxima,FROM OTHER PAPER,N,,Diatoms,
Adams et al 2013,Understanding precision nitrogen stress to optimize the growth and lipid content tradeoff in oleaginous green microalgae,growth rate,N,,don't report rates but do have some raw data…,
An et al 2003,Hydrocarbon production from secondarily treated piggery wastewater by the green alga Botryococcus braunii,growth rate,yes,Growth rate,,
Arensberg et al 1995,A miniscale algal toxicity test,growth rate,yes,Growth rate,,
Bailliez et al 1985,Growth and hydrocarbon production of Botryococcus braunii immobilized in calcium alginate gel,growth rate,N,,about hydrocarbons,
Boussiba et al 1999,Changes in pigments profile in the green alga Haeamtococcus pluvialis exposed to environmental stresses,growth rate,N,,cellular content,
Brannon and Bartsch 1939,Influence of Growth Substances on Growth and Cell Division in Green Algae,growth rate,N,,rate not reported but there is raw data,
Cetin and Mert 2006,Growth rate of Scenedesmus acutus (Meyen) in Cultures exposed to trifluralin,growth rate,N,,rate not reported but there is raw data,
Choi et al 2012,Influence of the CO2 absorbent monoethanolamine on growth and carbon fixation by the green alga Scenedesmus sp,growth rate,N,,rate not reported but there is raw data,
Christy et al 1981,Glyphosate on the growth rate of chlorella,growth rate,yes,Growth rate,,
Cleuvers and Ratte 2002,Phytotoxicity of coloured substances: is Lemna duckweed an alternative to the algal growth inhibition test,growth rate,N,,about duckweed,
Collins and Bell 2004,"Phenotypic consequences of 1,000 generations of selection at elevated CO2 in green alga",growth rate,N,,cellular content,
de Alva et al 2013,Green microalga Scenedesmus acutus grown on municipal wasterwater to couple nutrient removal with lipid accumulation of biodiesel production,growth rate,N,,rate not reported but there is raw data,
DeMott and Pape 2005,"Stoichiometry in an ecological context: testing for links between Daphnia P-content, growth rate and habitat preference",growth rate,N,,Daphnia rates,
Dunker et al 2013,"Contrasting effects of the cyanobacterium Microcystis aeruginosa on the growth and physiology of two green algae, Oocystis marsonii and Scenedesmus obliquus, revealed by flow cytometry",growth rate,yes,Growth rate,,
Exley et al 1993,"Silicon, aluminium, and the biological availability of phosphorus in algae",growth rate,N,,rate not reported but there is raw data,
Folson et al 1986,Comparative study of aluminum and copper transport and toxicity in an acid-tolerant freshwater green alga,growth rate,N,,rate not reported but there is raw data,
Gong and Chen 1997,Optimization of culture medium for growth of Haematococcus pluvialis,growth rate,yes,Growth rate,,
Gordon and Polle 2007,Ultrahigh bioproductivity from algae,growth rate,N,,about increasing efficiency,
Harker et al 1996,Autotrophic growth and carotenoid production of Haematococcus pluvialis in a 30 Liter air lift photobioreactor,growth rate,N,,rate not reported but there is raw data,
Herman et al 1990,"Impact of volatile aromatic hydrocarbons, alone and in combination, on growth of the freshwater alga Selenastrum capricornutum",growth rate,N,,rate not reported but there is raw data,
Hill and Machlis 1970,Defined Media for Growth and Gamete Production by the green alga Oedogonium cardiacum,growth rate,N,,about male and female differences in growth,
Jennings 1967,Gibberellins as Endogenous Growth Regulators in Green and Brown algae,growth rate,N,,giberellins affect on algae growth,
Jeon et al 2006,Combined effects of light intensity and acetate concentrations on the growth on the unicellular microalga Haematococcus pluvialis,growth rate,yes,Growth rate,,
Katsuda et al 2006,Effect of flashing light from blue light emitting diodes on cell growth and astazanthin production of haematococcus pluvialis,growth rate,yes,Growth rate,,
Kobayashi et al 1992,Growth and astaxanthin formation in Haematococcus pluvialis in heterotrophic and mixotrophic conditions,growth rate,N,,no information over time,
Kok 1952,On the efficiency of chlorella growth,growth rate,N,,photosynthesis rate and respiration rate,
Kruskopf and Du Plessis 2004,Induction of both acid and alkaline phosphate activity in two green-algae (chlorophyceae) in low N and P concentrations,growth rate,yes,Growth rate,,
Kuhn and Pottard,Results of the harmful effects of water pollutants to green algae (Scenedesmus subspicatus) in the cell multiplication inhibition test,growth rate,N,,toxicity test,
Lampert et al 1994,Chemical induction of colony formation in a green alga (Scenedesmus acutus) by grazers (Daphnia),growth rate,N,,measuring colonies- response to Daphnia,
Lasheen et al 1989,"Effect of cadmium, copper, and chromium (vi) on the growth of nile water algae",growth rate,N,,rate not reported but there is raw data,
