Rep,Treat,Day,Date,Time,pH,Temp,NH4
1,1,1,02_26_2018,8:29,7.5,21.3,20.64
15,2,1,02_26_2018,8:39,7.4,21.1,24.79
29,3,1,02_26_2018,8:46,7.6,21.9,5.14
43,4,1,02_26_2018,8:55,7.7,22,0.75
57,5,1,02_26_2018,9:05,7.5,21.3,9.44
16,2,1,02_26_2018,9:13,7.3,21.14,25.82
30,3,1,02_26_2018,9:23,7.6,21.6,5.02
44,4,1,02_26_2018,9:32,7.7,21.8,0.81
58,5,1,02_26_2018,9:42,7.6,21.2,8.88
2,1,1,02_26_2018,9:49,7.5,21,16.96
31,3,1,02_26_2018,9:57,7.7,21.2,4.68
45,4,1,02_26_2018,10:07,7.7,21.6,0.69
59,5,1,02_26_2018,10:20,7.6,21.1,8.37
3,1,1,02_26_2018,10:28,7.6,21.1,14.37
17,2,1,02_26_2018,10:38,7.4,21.3,19.16
46,4,1,02_26_2018,10:47,7.7,21.5,0.68
60,5,1,02_26_2018,10:57,7.6,21.1,7.55
4,1,1,02_26_2018,11:05,7.6,21.2,14.32
18,2,1,02_26_2018,11:15,7.4,21.1,20.05
32,3,1,02_26_2018,11:20,7.7,21.1,4.14
61,5,1,02_26_2018,11:30,7.6,20.9,8.53
5,1,1,02_26_2018,11:38,7.6,21.1,15.29
19,2,1,02_26_2018,11:44,7.4,21,20.42
33,3,1,02_26_2018,11:53,7.7,21,3.98
47,4,1,02_26_2018,12:00,7.8,21.2,0.74
6,1,1,02_26_2018,12:07,7.6,21.1,13.69
20,2,1,02_26_2018,12:17,7.4,21.2,20.08
34,3,1,02_26_2018,12:22,7.7,21,4.05
48,4,1,02_26_2018,12:27,7.8,21.3,0.76
62,5,1,02_26_2018,12:37,7.7,20.9,7.85
21,2,1,02_26_2018,12:47,7.5,21.1,19.52
35,3,1,02_26_2018,12:55,7.8,21.1,3.82
49,4,1,02_26_2018,13:01,7.8,21.3,0.7
63,5,1,02_26_2018,13:10,7.7,20.9,7.32
7,1,1,02_26_2018,13:20,7.7,21.1,14.11
36,3,1,02_26_2018,13:51,7.9,20.8,4.55
50,4,1,02_26_2018,13:58,7.9,21.4,0.95
64,5,1,02_26_2018,14:06,7.8,21.1,9.6
8,1,1,02_26_2018,14:16,7.7,21.4,16.74
22,2,1,02_26_2018,14:24,7.5,21.6,22.64
51,4,1,02_26_2018,14:33,7.8,21.6,0.96
65,5,1,02_26_2018,14:43,7.8,21.4,8.33
9,1,1,02_26_2018,14:52,7.8,21.5,15.27
23,2,1,02_26_2018,15:00,7.5,21.6,22.71
37,3,1,02_26_2018,15:09,7.9,21.2,3.86
66,5,1,02_26_2018,15:19,7.8,21.2,8.09
10,1,1,02_26_2018,15:27,7.8,21.5,13.66
24,2,1,02_26_2018,15:35,7.6,21.6,17.2
38,3,1,02_26_2018,15:45,7.9,21.2,4.53
52,4,1,02_26_2018,15:53,7.9,21.6,0.74
11,1,1,02_26_2018,16:01,7.8,21.6,13.38
25,2,1,02_26_2018,16:13,7.6,21.5,19.94
39,3,1,02_26_2018,16:23,7.9,21.1,3.75
53,4,1,02_26_2018,16:27,7.9,21.2,0.71
67,5,1,02_26_2018,16:32,7.9,20.9,6.62
26,2,1,02_26_2018,16:42,7.6,21.3,17.51
40,3,1,02_26_2018,16:46,7.9,20.9,3.57
54,4,1,02_26_2018,16:50,7.9,21.2,0.74
68,5,1,02_26_2018,17:00,7.9,20.9,7.56
12,1,1,02_26_2018,17:10,7.9,21.2,13.26
41,3,1,02_26_2018,17:20,8,20.9,3.63
55,4,1,02_26_2018,17:24,7.9,21.2,0.73
69,5,1,02_26_2018,17:34,7.9,21,7.33
13,1,1,02_26_2018,17:43,7.9,21.3,13.15
27,2,1,02_26_2018,17:53,7.7,21.3,18.07
56,4,1,02_26_2018,17:59,8,21.3,0.79
70,5,1,02_26_2018,18:07,8,20.9,7.68
14,1,1,02_26_2018,18:15,7.9,21.2,14.32
28,2,1,02_26_2018,18:25,7.7,21.6,18.6
42,3,1,02_26_2018,18:30,8,20.9,3.81
1,1,2,02_27_2018,7:52,8.3,20.9,36.85
15,2,2,02_27_2018,8:06,8.3,20.7,28.98
29,3,2,02_27_2018,8:15,8.4,20.6,6.63
43,4,2,02_27_2018,8:23,8.3,20.7,1.45
57,5,2,02_27_2018,8:33,8.3,20.9,9.34
16,2,2,02_27_2018,8:43,8.2,20.5,22.39
30,3,2,02_27_2018,8:53,8.4,20.3,4.07
44,4,2,02_27_2018,8:58,8.5,20.6,0.8
58,5,2,02_27_2018,9:04,8.4,20.5,7.23
2,1,2,02_27_2018,9:15,8.3,20.5,14.05
31,3,2,02_27_2018,9:20,8.4,20.5,3.95
45,4,2,02_27_2018,9:25,8.4,20.4,0.77
59,5,2,02_27_2018,9:36,8.4,20.7,7.05
3,1,2,02_27_2018,9:44,8.3,20.6,13.03
17,2,2,02_27_2018,9:54,8.3,20.5,17.3
46,4,2,02_27_2018,9:59,8.4,20.7,0.85
60,5,2,02_27_2018,10:03,8.4,20.7,6.37
4,1,2,02_27_2018,10:13,8.3,20.7,13.46
18,2,2,02_27_2018,10:23,8.2,20.8,18.78
32,3,2,02_27_2018,10:29,8.4,20.8,3.85
61,5,2,02_27_2018,10:35,8.4,20.8,7.21
5,1,2,02_27_2018,10:42,8.3,20.8,13.12
19,2,2,02_27_2018,10:52,8.2,20.8,18.18
33,3,2,02_27_2018,11:02,8.4,20.8,3.59
47,4,2,02_27_2018,11:10,8.4,20.9,0.76
6,1,2,02_27_2018,11:20,8.3,21,12.08
20,2,2,02_27_2018,14:01,8.3,21.2,22.4
34,3,2,02_27_2018,14:11,8.4,21.3,5.7
48,4,2,02_27_2018,14:20,8.4,21,2.04
62,5,2,02_27_2018,14:30,8.4,21.1,7.56
21,2,2,02_27_2018,14:36,8.3,21.2,17.74
35,3,2,02_27_2018,14:42,8.4,21,3.48
49,4,2,02_27_2018,14:46,8.4,21,0.77
63,5,2,02_27_2018,14:56,8.4,21.1,6.75
7,1,2,02_27_2018,15:06,8.3,21,12.38
36,3,2,02_27_2018,15:17,8.4,21.2,3.18
50,4,2,02_27_2018,15:21,8.4,21.2,0.75
64,5,2,02_27_2018,15:31,8.4,21.1,6.14
8,1,2,02_27_2018,15:39,8.4,21.1,12.11
22,2,2,02_27_2018,15:46,8.3,21.1,16.99
51,4,2,02_27_2018,15:53,8.4,21.1,0.91
65,5,2,02_27_2018,16:01,8.4,21.1,6.43
9,1,2,02_27_2018,16:11,8.3,21.2,12.16
23,2,2,02_27_2018,16:21,8.3,21.2,18.37
37,3,2,02_27_2018,16:28,8.4,21.1,3.73
66,5,2,02_27_2018,16:38,8.4,21.4,6.42
10,1,2,02_27_2018,16:48,8.4,21.3,12.35
24,2,2,02_27_2018,16:58,8.3,21.4,17.75
38,3,2,02_27_2018,17:08,8.4,21.1,3.93
52,4,2,02_27_2018,17:14,8.5,21.3,0.93
11,1,2,02_27_2018,17:24,8.3,21.2,12.95
25,2,2,02_27_2018,17:35,8.3,21.3,18.17
39,3,2,02_27_2018,17:44,8.4,21.3,3.79
53,4,2,02_27_2018,17:49,8.5,21.2,0.88
67,5,2,02_27_2018,17:57,8.4,21.2,6.62
26,2,2,02_27_2018,18:07,8.3,21.2,17.57
40,3,2,02_27_2018,18:14,8.4,21.2,3.47
54,4,2,02_27_2018,18:18,8.4,21.2,0.88
68,5,2,02_27_2018,18:26,8.4,21.3,7.55
12,1,2,02_27_2018,18:26,8.3,21.3,14.61
41,3,2,02_27_2018,18:39,8.4,21.4,4.24
55,4,2,02_27_2018,18:46,8.4,21.3,0.89
69,5,2,02_27_2018,18:56,8.4,21.3,6.54
13,1,2,02_27_2018,19:06,8.4,21.3,12.33
27,2,2,02_27_2018,19:16,8.3,21.3,17.25
56,4,2,02_27_2018,19:21,8.4,21.4,0.86
