Rep,Treat,Day,Date,Time,pH,Temp ,NO3
1,1,1,03_05_2018,8:13,7.6,21.3,2.7
15,2,1,03_05_2018,8:25,7.3,21,2.35
29,3,1,03_05_2018,8:31,7.7,21.2,2.07
43,4,1,03_05_2018,8:38,7.8,21.5,1.94
57,5,1,03_05_2018,8:44,7.7,21.3,1.97
16,2,1,03_05_2018,8:49,7.3,21,2.14
30,3,1,03_05_2018,8:55,7.7,21,1.89
44,4,1,03_05_2018,9:00,7.8,21.2,1.82
58,5,1,03_05_2018,9:08,7.6,21.1,1.82
2,1,1,03_05_2018,9:16,7.5,21.1,1.83
31,3,1,03_05_2018,9:21,7.7,21,1.75
45,4,1,03_05_2018,9:26,7.8,21.2,1.69
59,5,1,03_05_2018,9:31,7.7,20.9,1.75
3,1,1,03_05_2018,9:39,7.5,20.9,1.82
17,2,1,03_05_2018,9:47,7.3,20.9,1.91
46,4,1,03_05_2018,9:54,7.8,21.1,1.65
60,5,1,03_05_2018,10:01,7.7,20.8,1.72
4,1,1,03_05_2018,10:14,7.5,21.1,1.76
18,2,1,03_05_2018,10:17,7.3,20.9,1.85
32,3,1,03_05_2018,10:20,7.8,20.8,1.68
61,5,1,03_05_2018,10:27,7.7,20.7,1.7
5,1,1,03_05_2018,10:35,7.6,20.9,1.78
19,2,1,03_05_2018,10:42,7.4,20.9,1.86
33,3,1,03_05_2018,10:49,7.8,20.7,1.66
47,4,1,03_05_2018,11:04,7.8,20.8,1.59
6,1,1,03_05_2018,11:10,7.6,21,1.75
20,2,1,03_05_2018,11:15,7.4,21,1.86
34,3,1,03_05_2018,11:25,7.8,20.6,1.64
48,4,1,03_05_2018,11:28,7.8,20.8,1.58
62,5,1,03_05_2018,11:32,7.8,20.7,1.67
21,2,1,03_05_2018,11:37,7.4,20.8,1.83
35,3,1,03_05_2018,11:45,7.8,20.5,1.61
49,4,1,03_05_2018,11:50,7.9,20.8,1.54
63,5,1,03_05_2018,11:57,7.8,20.6,1.63
7,1,1,03_05_2018,12:03,7.6,20.9,1.68
36,3,1,03_05_2018,12:06,7.8,20.6,1.57
50,4,1,03_05_2018,12:16,7.9,21,1.53
64,5,1,03_05_2018,12:20,7.8,20.6,1.61
8,1,1,03_05_2018,12:23,7.7,21.2,1.66
22,2,1,03_05_2018,12:30,7.4,21,1.78
51,4,1,03_05_2018,13:07,7.9,21,1.45
65,5,1,03_05_2018,13:11,7.9,20.6,1.52
9,1,1,03_05_2018,13:15,7.7,21,1.64
23,2,1,03_05_2018,13:22,7.5,21,1.75
37,3,1,03_05_2018,13:26,7.9,20.6,1.5
66,5,1,03_05_2018,13:30,7.9,20.6,1.56
10,1,1,03_05_2018,13:32,7.7,21,1.63
24,2,1,03_05_2018,13:37,7.7,21,1.63
38,3,1,03_05_2018,13:46,7.9,20.6,1.55
52,4,1,03_05_2018,13:52,7.9,21.1,1.46
11,1,1,03_05_2018,13:58,7.7,21.1,1.62
25,2,1,03_05_2018,14:02,75,21,1.72
39,3,1,03_05_2018,14:11,7.9,20.6,1.51
53,4,1,03_05_2018,14:19,7.8,21.2,1.46
67,5,1,03_05_2018,14:25,7.9,20.6,1.56
26,2,1,03_05_2018,14:33,7.5,20.9,1.74
40,3,1,03_05_2018,14:37,8,20.6,1.5
54,4,1,03_05_2018,14:42,7.9,21.2,1.45
68,5,1,03_05_2018,14:47,7.9,20.6,1.55
12,1,1,03_05_2018,14:51,7.8,21,1.63
41,3,1,03_05_2018,15:06,8,20.6,1.52
55,4,1,03_05_2018,15:11,7.9,21,1.44
69,5,1,03_05_2018,15:16,8,20.8,1.57
13,1,1,03_05_2018,15:23,7.8,21,1.63
27,2,1,03_05_2018,15:29,7.6,21,1.72
56,4,1,03_05_2018,15:35,7.9,21,1.44
70,5,1,03_05_2018,15:40,8,20.5,1.54
14,1,1,03_05_2018,15:49,7.8,21,1.64
28,2,1,03_05_2018,15:58,7.6,21,1.71
42,3,1,03_05_2018,16:01,8,20.6,1.48
1,1,2,03_06_2018,8:03,8.3,20.6,3.2
15,2,2,03_06_2018,8:18,8.3,20.4,2.51
29,3,2,03_06_2018,8:23,8.4,20.4,2.04
43,4,2,03_06_2018,8:28,8.5,20.3,1.96
57,5,2,03_06_2018,8:32,8.4,20.6,2.03
16,2,2,03_06_2018,8:41,8.2,20.3,2.16
30,3,2,03_06_2018,8:48,8.4,20.2,1.87
44,4,2,03_06_2018,8:53,8.5,20.2,1.86
58,5,2,03_06_2018,8:58,8.4,20.4,1.9
2,1,2,03_06_2018,9:04,8.4,20.3,1.94
31,3,2,03_06_2018,9:11,8.5,20.2,1.82
45,4,2,03_06_2018,9:18,8.5,20.3,1.73
59,5,2,03_06_2018,9:25,8.4,20.4,1.8
3,1,2,03_06_2018,9:31,8.4,20.3,1.82
17,2,2,03_06_2018,9:37,8.3,20.3,1.96
46,4,2,03_06_2018,9:42,8.5,20.4,1.67
60,5,2,03_06_2018,9:48,8.4,20.5,1.75
4,1,2,03_06_2018,9:53,8.4,20.3,1.8
18,2,2,03_06_2018,9:57,8.3,20.3,1.94
32,3,2,03_06_2018,10:03,8.4,20.3,1.7
61,5,2,03_06_2018,10:08,8.4,20.4,1.75
5,1,2,03_06_2018,10:14,8.4,20.3,1.8
19,2,2,03_06_2018,10:20,8.3,20.3,1.91
33,3,2,03_06_2018,10:25,8.4,20.3,1.67
47,4,2,03_06_2018,10:31,8.5,20.5,1.65
6,1,2,03_06_2018,10:36,8.4,20.6,1.8
20,2,2,03_06_2018,10:42,8.3,20.4,1.9
34,3,2,03_06_2018,10:47,8.4,20.5,1.66
48,4,2,03_06_2018,10:52,8.5,20.6,1.66
62,5,2,03_06_2018,10:59,8.4,20.7,1.73
21,2,2,03_06_2018,11:05,8.3,20.5,1.89
35,3,2,03_06_2018,11:11,8.4,20.6,1.65
49,4,2,03_06_2018,11:16,8.5,20.6,1.62
63,5,2,03_06_2018,11:20,8.4,20.7,1.73
7,1,2,03_06_2018,11:24,8.4,20.5,1.76
36,3,2,03_06_2018,11:29,8.4,20.5,1.63
50,4,2,03_06_2018,11:35,8.5,20.4,1.66
64,5,2,03_06_2018,11:41,8.4,20.6,1.69
8,1,2,03_06_2018,11:45,8.4,20.6,1.73
22,2,2,03_06_2018,11:50,8.3,20.5,1.87
51,4,2,03_06_2018,11:54,8.5,20.6,1.6
65,5,2,03_06_2018,11:59,8.4,20.6,1.67
9,1,2,03_06_2018,12:03,8.4,20.6,1.76
23,2,2,03_06_2018,12:08,8.3,20.6,1.86
37,3,2,03_06_2018,12:12,8.4,20.6,1.64
66,5,2,03_06_2018,12:17,8.4,20.6,1.67
10,1,2,03_06_2018,12:21,8.3,20.6,1.79
24,2,2,03_06_2018,12:25,8.3,20.7,1.77
38,3,2,03_06_2018,12:31,8.4,20.7,1.67
52,4,2,03_06_2018,12:36,8.4,20.7,1.61
11,1,2,03_06_2018,12:41,8.3,20.7,1.77
25,2,2,03_06_2018,12:45,8.3,20.8,1.91
39,3,2,03_06_2018,12:52,8.4,20.7,1.66
53,4,2,03_06_2018,12:57,8.4,20.8,1.59
67,5,2,03_06_2018,13:02,8.4,20.8,1.7
26,2,2,03_06_2018,13:07,8.3,20.7,1.9
40,3,2,03_06_2018,13:12,8.4,20.7,1.64
54,4,2,03_06_2018,13:18,8.5,21,1.61
68,5,2,03_06_2018,13:23,8.4,20.9,1.69
12,1,2,03_06_2018,13:29,8.4,20.9,1.76
41,3,2,03_06_2018,14:10,8.4,20.8,1.61
55,4,2,03_06_2018,14:16,8.4,20.9,1.54
69,5,2,03_06_2018,14:21,8.4,21.2,1.63
13,1,2,03_06_2018,14:26,8.4,21,1.7
27,2,2,03_06_2018,14:32,8.3,20.9,1.84
56,4,2,03_06_2018,14:37,8.4,21.1,1.56
70,5,2,03_06_2018,14:42,8.4,21.1,1.65
14,1,2,03_06_2018,14:48,8.4,21,1.74
28,2,2,03_06_2018,14:53,8.3,21,1.88
42,3,2,03_06_2018,14:58,8.4,21,1.61
1,1,3,03_07_2018,10:01,8.4,20.9,3.74
15,2,3,03_07_2018,10:16,8.3,21.3,3.27
29,3,3,03_07_2018,10:21,8.5,20.8,2.26
43,4,3,03_07_2018,10:27,8.5,20.6,2.15
