,treatment,param,value
1,0.5,a,15.54776287
2,0.5,k,2374.916077
3,0.5,l,0.650734243
4,0.5,death1,0.060296965
5,0.5,f,0.01938756
6,3,a,15.81300259
7,3,k,3943.977356
8,3,l,0.275530195
9,3,death1,0.089910269
10,3,f,0.024988184
11,9,a,20.90503502
12,9,k,4249.801636
13,9,l,0.048832378
14,9,death1,0.074484348
15,9,f,0.022981892
16,27,a,26.77456188
17,27,k,5958.106995
18,27,l,0.370990057
19,27,death1,0.070606947
20,27,f,0.023443575
21,54,a,16.8931675
22,54,k,7422.866821
23,54,l,0.348505421
24,54,death1,0.068496227
25,54,f,0.026951046
26,108,a,6.329561234
27,108,k,6663.162231
28,108,l,0.707919712
29,108,death1,0.069939327
30,108,f,0.053953381
