,param,treatment,quant,value
ci_a_0.5...1,a,0.5,2.50%,4.407732438
ci_a_0.5...2,a,0.5,50.00%,20.26451061
ci_a_0.5...3,a,0.5,97.50%,41.85724518
ci_k_0.5...4,k,0.5,2.50%,1192.244624
ci_k_0.5...5,k,0.5,50.00%,4052.527257
ci_k_0.5...6,k,0.5,97.50%,8720.045329
ci_l_0.5...7,l,0.5,2.50%,0.043467735
ci_l_0.5...8,l,0.5,50.00%,0.498490524
ci_l_0.5...9,l,0.5,97.50%,0.96717024
ci_death1_0.5...10,death1,0.5,2.50%,0.079323157
ci_death1_0.5...11,death1,0.5,50.00%,0.332667411
ci_death1_0.5...12,death1,0.5,97.50%,1.718956596
ci_f_0.5...13,f,0.5,2.50%,0.01167485
ci_f_0.5...14,f,0.5,50.00%,0.033611226
ci_f_0.5...15,f,0.5,97.50%,0.627320736
ci_a_3...16,a,3,2.50%,9.85105601
ci_a_3...17,a,3,50.00%,16.78017095
ci_a_3...18,a,3,97.50%,39.93825665
ci_k_3...19,k,3,2.50%,1778.681749
ci_k_3...20,k,3,50.00%,4123.963688
ci_k_3...21,k,3,97.50%,8721.897919
ci_l_3...22,l,3,2.50%,0.152590938
ci_l_3...23,l,3,50.00%,0.63959783
ci_l_3...24,l,3,97.50%,0.985017817
ci_death1_3...25,death1,3,2.50%,0.057178215
ci_death1_3...26,death1,3,50.00%,0.155952565
ci_death1_3...27,death1,3,97.50%,1.607971307
ci_f_3...28,f,3,2.50%,0.016353182
ci_f_3...29,f,3,50.00%,0.028072847
ci_f_3...30,f,3,97.50%,0.671730468
ci_a_9...31,a,9,2.50%,17.0259356
ci_a_9...32,a,9,50.00%,23.09045574
ci_a_9...33,a,9,97.50%,44.87433392
ci_k_9...34,k,9,2.50%,2897.461972
ci_k_9...35,k,9,50.00%,5485.076566
ci_k_9...36,k,9,97.50%,8377.411236
ci_l_9...37,l,9,2.50%,0.053073679
ci_l_9...38,l,9,50.00%,0.603332945
ci_l_9...39,l,9,97.50%,0.990506692
ci_death1_9...40,death1,9,2.50%,0.056447123
ci_death1_9...41,death1,9,50.00%,0.085404144
ci_death1_9...42,death1,9,97.50%,1.569846319
ci_f_9...43,f,9,2.50%,0.014423532
ci_f_9...44,f,9,50.00%,0.018996957
ci_f_9...45,f,9,97.50%,0.765141177
ci_a_27...46,a,27,2.50%,19.1714527
ci_a_27...47,a,27,50.00%,23.00647553
ci_a_27...48,a,27,97.50%,42.51441086
ci_k_27...49,k,27,2.50%,6108.3611
ci_k_27...50,k,27,50.00%,8245.557759
ci_k_27...51,k,27,97.50%,8811.830906
ci_l_27...52,l,27,2.50%,0.384129605
ci_l_27...53,l,27,50.00%,0.652624873
ci_l_27...54,l,27,97.50%,0.937159624
ci_death1_27...55,death1,27,2.50%,0.08351127
ci_death1_27...56,death1,27,50.00%,0.260467188
ci_death1_27...57,death1,27,97.50%,1.440516792
ci_f_27...58,f,27,2.50%,0.025254576
ci_f_27...59,f,27,50.00%,0.051174745
ci_f_27...60,f,27,97.50%,0.694964466
ci_a_54...61,a,54,2.50%,11.37275484
ci_a_54...62,a,54,50.00%,14.53125869
ci_a_54...63,a,54,97.50%,20.84038228
ci_k_54...64,k,54,2.50%,1555.890768
ci_k_54...65,k,54,50.00%,4826.451551
ci_k_54...66,k,54,97.50%,7773.258444
ci_l_54...67,l,54,2.50%,0.16512287
ci_l_54...68,l,54,50.00%,0.577767286
ci_l_54...69,l,54,97.50%,0.963563094
ci_death1_54...70,death1,54,2.50%,0.084512904
ci_death1_54...71,death1,54,50.00%,0.213807483
ci_death1_54...72,death1,54,97.50%,1.01621011
ci_f_54...73,f,54,2.50%,0.028320169
ci_f_54...74,f,54,50.00%,0.045239767
ci_f_54...75,f,54,97.50%,0.234968188
ci_a_108...76,a,108,2.50%,1.397287416
ci_a_108...77,a,108,50.00%,4.823909085
ci_a_108...78,a,108,97.50%,10.46937007
ci_k_108...79,k,108,2.50%,1236.415562
ci_k_108...80,k,108,50.00%,4885.112356
ci_k_108...81,k,108,97.50%,8799.202718
ci_l_108...82,l,108,2.50%,0.036079258
ci_l_108...83,l,108,50.00%,0.471879824
ci_l_108...84,l,108,97.50%,0.966430594
ci_death1_108...85,death1,108,2.50%,0.074939435
ci_death1_108...86,death1,108,50.00%,0.858251945
ci_death1_108...87,death1,108,97.50%,1.916842452
ci_f_108...88,f,108,2.50%,0.054260573
ci_f_108...89,f,108,50.00%,0.251838882
ci_f_108...90,f,108,97.50%,0.828399907
