"","param","quant","value","treat","rep","param2"
"1","p[1]","X2.5.",0.731193997974371,"1","1.RDS","a"
"2","p[1]","X25.",1.3400016756813,"1","1.RDS","a"
"3","p[1]","X50.",1.74686777340059,"1","1.RDS","a"
"4","p[1]","X75.",2.19127671371921,"1","1.RDS","a"
"5","p[1]","X97.5.",3.22024788836284,"1","1.RDS","a"
"6","p[2]","X2.5.",0.744389232069507,"1","1.RDS","k"
"7","p[2]","X25.",1.49542728375864,"1","1.RDS","k"
"8","p[2]","X50.",2.04666907712788,"1","1.RDS","k"
"9","p[2]","X75.",2.73814498427246,"1","1.RDS","k"
"10","p[2]","X97.5.",4.62917287350813,"1","1.RDS","k"
"11","p[3]","X2.5.",0.465259167504381,"1","1.RDS","l"
"12","p[3]","X25.",0.691843396658187,"1","1.RDS","l"
"13","p[3]","X50.",0.870063973295871,"1","1.RDS","l"
"14","p[3]","X75.",1.106263689267,"1","1.RDS","l"
"15","p[3]","X97.5.",1.6947265727877,"1","1.RDS","l"
"16","p[4]","X2.5.",0.479980182248026,"1","1.RDS","death1"
"17","p[4]","X25.",0.88129100802245,"1","1.RDS","death1"
"18","p[4]","X50.",1.17794365966198,"1","1.RDS","death1"
"19","p[4]","X75.",1.60527884398626,"1","1.RDS","death1"
"20","p[4]","X97.5.",2.68908970993713,"1","1.RDS","death1"
"21","p[5]","X2.5.",0.662687554026119,"1","1.RDS","f"
"22","p[5]","X25.",0.992254042227463,"1","1.RDS","f"
"23","p[5]","X50.",1.24242038319293,"1","1.RDS","f"
"24","p[5]","X75.",1.54513469152611,"1","1.RDS","f"
"25","p[5]","X97.5.",2.25445561687326,"1","1.RDS","f"
"26","p[1]","X2.5.",0.573911899820173,"1","2.RDS","a"
"27","p[1]","X25.",0.999843592297633,"1","2.RDS","a"
"28","p[1]","X50.",1.29845227264917,"1","2.RDS","a"
"29","p[1]","X75.",1.67290216515755,"1","2.RDS","a"
"30","p[1]","X97.5.",2.63496992945347,"1","2.RDS","a"
"31","p[2]","X2.5.",0.594369173457641,"1","2.RDS","k"
"32","p[2]","X25.",1.18013956132957,"1","2.RDS","k"
"33","p[2]","X50.",1.69736382346037,"1","2.RDS","k"
"34","p[2]","X75.",2.29070013402379,"1","2.RDS","k"
"35","p[2]","X97.5.",4.28997590112183,"1","2.RDS","k"
"36","p[3]","X2.5.",0.470357631894765,"1","2.RDS","l"
"37","p[3]","X25.",0.734955392645847,"1","2.RDS","l"
"38","p[3]","X50.",0.93205993647936,"1","2.RDS","l"
"39","p[3]","X75.",1.1891555334576,"1","2.RDS","l"
"40","p[3]","X97.5.",1.8688911828745,"1","2.RDS","l"
"41","p[4]","X2.5.",0.409433943655646,"1","2.RDS","death1"
"42","p[4]","X25.",0.720636694694366,"1","2.RDS","death1"
"43","p[4]","X50.",0.971672616989496,"1","2.RDS","death1"
"44","p[4]","X75.",1.29993655179452,"1","2.RDS","death1"
"45","p[4]","X97.5.",2.15107567508115,"1","2.RDS","death1"
"46","p[5]","X2.5.",0.675081317435396,"1","2.RDS","f"
"47","p[5]","X25.",1.01527697476144,"1","2.RDS","f"
"48","p[5]","X50.",1.26011596060482,"1","2.RDS","f"
"49","p[5]","X75.",1.58666167482991,"1","2.RDS","f"
"50","p[5]","X97.5.",2.40071289747983,"1","2.RDS","f"
"51","p[1]","X2.5.",0.680502345417843,"1","3.RDS","a"
"52","p[1]","X25.",0.999810846795303,"1","3.RDS","a"
"53","p[1]","X50.",1.2124099806611,"1","3.RDS","a"
"54","p[1]","X75.",1.47776941535422,"1","3.RDS","a"
"55","p[1]","X97.5.",2.19406470942662,"1","3.RDS","a"
"56","p[2]","X2.5.",0.586269985385965,"1","3.RDS","k"
"57","p[2]","X25.",1.03620698099266,"1","3.RDS","k"
"58","p[2]","X50.",1.38286996321085,"1","3.RDS","k"
"59","p[2]","X75.",1.86497193145754,"1","3.RDS","k"
"60","p[2]","X97.5.",3.1750740448742,"1","3.RDS","k"
"61","p[3]","X2.5.",0.416711980604055,"1","3.RDS","l"
"62","p[3]","X25.",0.633624655238193,"1","3.RDS","l"
"63","p[3]","X50.",0.782820270342088,"1","3.RDS","l"
"64","p[3]","X75.",0.975952260827749,"1","3.RDS","l"
"65","p[3]","X97.5.",1.50414971095487,"1","3.RDS","l"
"66","p[4]","X2.5.",0.37307996256365,"1","3.RDS","death1"
"67","p[4]","X25.",0.625250477686027,"1","3.RDS","death1"
"68","p[4]","X50.",0.807317566480575,"1","3.RDS","death1"
"69","p[4]","X75.",1.050849026754,"1","3.RDS","death1"
"70","p[4]","X97.5.",1.78430159847142,"1","3.RDS","death1"
"71","p[5]","X2.5.",0.872299132111198,"1","3.RDS","f"
"72","p[5]","X25.",1.2773861990659,"1","3.RDS","f"
"73","p[5]","X50.",1.55692090128567,"1","3.RDS","f"
"74","p[5]","X75.",1.89213140377834,"1","3.RDS","f"
"75","p[5]","X97.5.",2.76783661861891,"1","3.RDS","f"
"76","p[1]","X2.5.",0.696608657490111,"1","4.RDS","a"
"77","p[1]","X25.",1.13353457577778,"1","4.RDS","a"
"78","p[1]","X50.",1.4052691767506,"1","4.RDS","a"
"79","p[1]","X75.",1.76468911802534,"1","4.RDS","a"
"80","p[1]","X97.5.",2.59214021490229,"1","4.RDS","a"
"81","p[2]","X2.5.",0.667154852338722,"1","4.RDS","k"
"82","p[2]","X25.",1.1889036718655,"1","4.RDS","k"
"83","p[2]","X50.",1.585237441215,"1","4.RDS","k"
"84","p[2]","X75.",2.13077677977725,"1","4.RDS","k"
"85","p[2]","X97.5.",3.74624082592126,"1","4.RDS","k"
"86","p[3]","X2.5.",0.441913864456122,"1","4.RDS","l"
"87","p[3]","X25.",0.655867110361699,"1","4.RDS","l"
"88","p[3]","X50.",0.808636133263563,"1","4.RDS","l"
"89","p[3]","X75.",1.0010899126758,"1","4.RDS","l"
"90","p[3]","X97.5.",1.58327139528415,"1","4.RDS","l"
"91","p[4]","X2.5.",0.420653870007267,"1","4.RDS","death1"
"92","p[4]","X25.",0.71340250873052,"1","4.RDS","death1"
"93","p[4]","X50.",0.956690390647991,"1","4.RDS","death1"
"94","p[4]","X75.",1.24088620598287,"1","4.RDS","death1"
"95","p[4]","X97.5.",2.02536209668407,"1","4.RDS","death1"
"96","p[5]","X2.5.",0.786593881113244,"1","4.RDS","f"
"97","p[5]","X25.",1.1935321235773,"1","4.RDS","f"
"98","p[5]","X50.",1.44555813382755,"1","4.RDS","f"
"99","p[5]","X75.",1.75505143837919,"1","4.RDS","f"
"100","p[5]","X97.5.",2.560815505255,"1","4.RDS","f"
"101","p[1]","X2.5.",0.673299388503893,"1","5.RDS","a"
"102","p[1]","X25.",1.0365742403477,"1","5.RDS","a"
"103","p[1]","X50.",1.27257993214866,"1","5.RDS","a"
"104","p[1]","X75.",1.5471874132955,"1","5.RDS","a"
"105","p[1]","X97.5.",2.31642665219863,"1","5.RDS","a"
"106","p[2]","X2.5.",0.622473690852344,"1","5.RDS","k"
"107","p[2]","X25.",1.09292508205498,"1","5.RDS","k"
"108","p[2]","X50.",1.45676358657553,"1","5.RDS","k"
"109","p[2]","X75.",1.93161117512084,"1","5.RDS","k"
"110","p[2]","X97.5.",3.28745070165334,"1","5.RDS","k"
"111","p[3]","X2.5.",0.413674193456214,"1","5.RDS","l"
"112","p[3]","X25.",0.624285274634471,"1","5.RDS","l"
"113","p[3]","X50.",0.771410634642936,"1","5.RDS","l"
"114","p[3]","X75.",0.956359815559546,"1","5.RDS","l"
"115","p[3]","X97.5.",1.42324945871177,"1","5.RDS","l"
"116","p[4]","X2.5.",0.393318718015043,"1","5.RDS","death1"
"117","p[4]","X25.",0.656142282382664,"1","5.RDS","death1"
"118","p[4]","X50.",0.850228715674734,"1","5.RDS","death1"
"119","p[4]","X75.",1.10389683526945,"1","5.RDS","death1"
"120","p[4]","X97.5.",1.82765269696444,"1","5.RDS","death1"
"121","p[5]","X2.5.",0.881574255695956,"1","5.RDS","f"
"122","p[5]","X25.",1.26717820503714,"1","5.RDS","f"
"123","p[5]","X50.",1.53636159975374,"1","5.RDS","f"
"124","p[5]","X75.",1.86189723290413,"1","5.RDS","f"
"125","p[5]","X97.5.",2.73659122633312,"1","5.RDS","f"
"126","p[1]","X2.5.",0.574350239617794,"2","1.RDS","a"
"127","p[1]","X25.",0.95510524682112,"2","1.RDS","a"
"128","p[1]","X50.",1.21795765131336,"2","1.RDS","a"
"129","p[1]","X75.",1.50964034252388,"2","1.RDS","a"
"130","p[1]","X97.5.",2.26473884145576,"2","1.RDS","a"
"131","p[2]","X2.5.",0.501792058547888,"2","1.RDS","k"
"132","p[2]","X25.",0.922117030681167,"2","1.RDS","k"
"133","p[2]","X50.",1.23743060147089,"2","1.RDS","k"
"134","p[2]","X75.",1.63425613929846,"2","1.RDS","k"
"135","p[2]","X97.5.",2.85922154361959,"2","1.RDS","k"
"136","p[3]","X2.5.",0.474926309882102,"2","1.RDS","l"
"137","p[3]","X25.",0.700619094330373,"2","1.RDS","l"
"138","p[3]","X50.",0.862899073124929,"2","1.RDS","l"
"139","p[3]","X75.",1.06072624905603,"2","1.RDS","l"
"140","p[3]","X97.5.",1.66531782594991,"2","1.RDS","l"
"141","p[4]","X2.5.",0.367102494677973,"2","1.RDS","death1"
"142","p[4]","X25.",0.588727622871517,"2","1.RDS","death1"
"143","p[4]","X50.",0.780120223782875,"2","1.RDS","death1"
"144","p[4]","X75.",1.01672167339264,"2","1.RDS","death1"
"145","p[4]","X97.5.",1.6644672839793,"2","1.RDS","death1"
"146","p[5]","X2.5.",0.809508201648688,"2","1.RDS","f"
"147","p[5]","X25.",1.20715527418514,"2","1.RDS","f"
"148","p[5]","X50.",1.46096032370089,"2","1.RDS","f"
"149","p[5]","X75.",1.77259581213334,"2","1.RDS","f"
"150","p[5]","X97.5.",2.49205296555366,"2","1.RDS","f"
"151","p[1]","X2.5.",0.625854452888555,"2","2.RDS","a"
"152","p[1]","X25.",0.990738645550983,"2","2.RDS","a"
"153","p[1]","X50.",1.2260688738561,"2","2.RDS","a"
"154","p[1]","X75.",1.5179149298397,"2","2.RDS","a"
"155","p[1]","X97.5.",2.27567210579319,"2","2.RDS","a"
"156","p[2]","X2.5.",0.601513358009611,"2","2.RDS","k"
"157","p[2]","X25.",1.1012866750328,"2","2.RDS","k"
"158","p[2]","X50.",1.51400328866023,"2","2.RDS","k"
"159","p[2]","X75.",2.03943052732857,"2","2.RDS","k"
"160","p[2]","X97.5.",3.60674030161132,"2","2.RDS","k"
"161","p[3]","X2.5.",0.405740099496962,"2","2.RDS","l"
"162","p[3]","X25.",0.591035034244588,"2","2.RDS","l"
"163","p[3]","X50.",0.72645129795351,"2","2.RDS","l"
"164","p[3]","X75.",0.901054238984707,"2","2.RDS","l"
"165","p[3]","X97.5.",1.38298855826197,"2","2.RDS","l"
"166","p[4]","X2.5.",0.381979494893133,"2","2.RDS","death1"
"167","p[4]","X25.",0.671704378779626,"2","2.RDS","death1"
"168","p[4]","X50.",0.885135948290686,"2","2.RDS","death1"
"169","p[4]","X75.",1.15958313416779,"2","2.RDS","death1"
"170","p[4]","X97.5.",1.93682849181253,"2","2.RDS","death1"
"171","p[5]","X2.5.",0.884133757053365,"2","2.RDS","f"
"172","p[5]","X25.",1.31553408309552,"2","2.RDS","f"
"173","p[5]","X50.",1.61446230117675,"2","2.RDS","f"
"174","p[5]","X75.",1.94415342485329,"2","2.RDS","f"
"175","p[5]","X97.5.",2.76069547514163,"2","2.RDS","f"
"176","p[1]","X2.5.",0.626093810805638,"2","3.RDS","a"
"177","p[1]","X25.",0.941831938093344,"2","3.RDS","a"
"178","p[1]","X50.",1.14290425686008,"2","3.RDS","a"
"179","p[1]","X75.",1.39288530343001,"2","3.RDS","a"
"180","p[1]","X97.5.",2.00043145407132,"2","3.RDS","a"
"181","p[2]","X2.5.",0.642694160997182,"2","3.RDS","k"
"182","p[2]","X25.",1.09920019533451,"2","3.RDS","k"
"183","p[2]","X50.",1.47861931279744,"2","3.RDS","k"
"184","p[2]","X75.",1.95006739341618,"2","3.RDS","k"
"185","p[2]","X97.5.",3.29449936833009,"2","3.RDS","k"
"186","p[3]","X2.5.",0.347551369659933,"2","3.RDS","l"
"187","p[3]","X25.",0.522054987032446,"2","3.RDS","l"
"188","p[3]","X50.",0.63363318060776,"2","3.RDS","l"
"189","p[3]","X75.",0.774652067157999,"2","3.RDS","l"
"190","p[3]","X97.5.",1.16614681500283,"2","3.RDS","l"
"191","p[4]","X2.5.",0.396337599571751,"2","3.RDS","death1"
"192","p[4]","X25.",0.658723812378423,"2","3.RDS","death1"
"193","p[4]","X50.",0.870339610868735,"2","3.RDS","death1"
"194","p[4]","X75.",1.13798381150811,"2","3.RDS","death1"
"195","p[4]","X97.5.",1.99602420548703,"2","3.RDS","death1"
"196","p[5]","X2.5.",1.08294667076404,"2","3.RDS","f"
"197","p[5]","X25.",1.56211082809212,"2","3.RDS","f"
"198","p[5]","X50.",1.88127721787583,"2","3.RDS","f"
"199","p[5]","X75.",2.25082256923667,"2","3.RDS","f"
"200","p[5]","X97.5.",3.26119704323499,"2","3.RDS","f"
"201","p[1]","X2.5.",0.606679832258047,"2","4.RDS","a"
"202","p[1]","X25.",0.964406807162311,"2","4.RDS","a"
"203","p[1]","X50.",1.1932316235585,"2","4.RDS","a"
"204","p[1]","X75.",1.47347672208134,"2","4.RDS","a"
"205","p[1]","X97.5.",2.1759667975027,"2","4.RDS","a"
"206","p[2]","X2.5.",0.545969803788827,"2","4.RDS","k"
"207","p[2]","X25.",0.943240536791145,"2","4.RDS","k"
"208","p[2]","X50.",1.29285355768265,"2","4.RDS","k"
"209","p[2]","X75.",1.7295952293424,"2","4.RDS","k"
"210","p[2]","X97.5.",3.00814140482483,"2","4.RDS","k"
"211","p[3]","X2.5.",0.452491804916935,"2","4.RDS","l"
"212","p[3]","X25.",0.65961685958594,"2","4.RDS","l"
"213","p[3]","X50.",0.802219609681384,"2","4.RDS","l"
"214","p[3]","X75.",0.992743565782913,"2","4.RDS","l"
"215","p[3]","X97.5.",1.46057816027745,"2","4.RDS","l"
"216","p[4]","X2.5.",0.355355312368239,"2","4.RDS","death1"
"217","p[4]","X25.",0.59682742661732,"2","4.RDS","death1"
"218","p[4]","X50.",0.78061336513709,"2","4.RDS","death1"
"219","p[4]","X75.",1.01940974225303,"2","4.RDS","death1"
"220","p[4]","X97.5.",1.6737631707568,"2","4.RDS","death1"
"221","p[5]","X2.5.",0.906568903943735,"2","4.RDS","f"
"222","p[5]","X25.",1.28069916490284,"2","4.RDS","f"
"223","p[5]","X50.",1.54560080756202,"2","4.RDS","f"
"224","p[5]","X75.",1.84600693503733,"2","4.RDS","f"
"225","p[5]","X97.5.",2.63480890658245,"2","4.RDS","f"
"226","p[1]","X2.5.",0.600232782689376,"2","5.RDS","a"
"227","p[1]","X25.",0.978537360931994,"2","5.RDS","a"
"228","p[1]","X50.",1.20836444739469,"2","5.RDS","a"
"229","p[1]","X75.",1.50171692590563,"2","5.RDS","a"
"230","p[1]","X97.5.",2.18760328972353,"2","5.RDS","a"
"231","p[2]","X2.5.",0.548983558145266,"2","5.RDS","k"
"232","p[2]","X25.",0.973923962516795,"2","5.RDS","k"
"233","p[2]","X50.",1.30041840632814,"2","5.RDS","k"
"234","p[2]","X75.",1.77775221173831,"2","5.RDS","k"
"235","p[2]","X97.5.",3.10837916310598,"2","5.RDS","k"
"236","p[3]","X2.5.",0.442980090265083,"2","5.RDS","l"
"237","p[3]","X25.",0.653010615108513,"2","5.RDS","l"
"238","p[3]","X50.",0.795217110763222,"2","5.RDS","l"
"239","p[3]","X75.",0.988756781431971,"2","5.RDS","l"
"240","p[3]","X97.5.",1.50486589114464,"2","5.RDS","l"
"241","p[4]","X2.5.",0.356535159764006,"2","5.RDS","death1"
"242","p[4]","X25.",0.614249476777336,"2","5.RDS","death1"
"243","p[4]","X50.",0.797873761911597,"2","5.RDS","death1"
"244","p[4]","X75.",1.06280074089239,"2","5.RDS","death1"
"245","p[4]","X97.5.",1.7456673406998,"2","5.RDS","death1"
"246","p[5]","X2.5.",0.881723989016602,"2","5.RDS","f"
"247","p[5]","X25.",1.27347411604758,"2","5.RDS","f"
"248","p[5]","X50.",1.53730252384644,"2","5.RDS","f"
"249","p[5]","X75.",1.84079592547819,"2","5.RDS","f"
"250","p[5]","X97.5.",2.618383340469,"2","5.RDS","f"
"251","p[1]","X2.5.",0.0502333183721403,"3","1.RDS","a"
"252","p[1]","X25.",0.0719399550810062,"3","1.RDS","a"
"253","p[1]","X50.",0.0878857792274938,"3","1.RDS","a"
"254","p[1]","X75.",0.108991106178652,"3","1.RDS","a"
"255","p[1]","X97.5.",0.16830697788489,"3","1.RDS","a"
"256","p[2]","X2.5.",0.107446401535099,"3","1.RDS","k"
"257","p[2]","X25.",0.186839179048284,"3","1.RDS","k"
"258","p[2]","X50.",0.246500507231352,"3","1.RDS","k"
"259","p[2]","X75.",0.326178168898888,"3","1.RDS","k"
"260","p[2]","X97.5.",0.554907522099945,"3","1.RDS","k"
"261","p[3]","X2.5.",0.0380894813897947,"3","1.RDS","l"
"262","p[3]","X25.",0.0490246346562984,"3","1.RDS","l"
"263","p[3]","X50.",0.0552235959314892,"3","1.RDS","l"
"264","p[3]","X75.",0.0615597952184415,"3","1.RDS","l"
"265","p[3]","X97.5.",0.0764266728845222,"3","1.RDS","l"
"266","p[4]","X2.5.",0.539851621312674,"3","1.RDS","death1"
"267","p[4]","X25.",0.904614108951595,"3","1.RDS","death1"
"268","p[4]","X50.",1.18476974137486,"3","1.RDS","death1"
"269","p[4]","X75.",1.53855237740171,"3","1.RDS","death1"
"270","p[4]","X97.5.",2.51927312598013,"3","1.RDS","death1"
"271","p[5]","X2.5.",13.0417881228697,"3","1.RDS","f"
"272","p[5]","X25.",16.0979729870095,"3","1.RDS","f"
"273","p[5]","X50.",17.8765186077781,"3","1.RDS","f"
"274","p[5]","X75.",20.1255987332567,"3","1.RDS","f"
"275","p[5]","X97.5.",25.9042267146197,"3","1.RDS","f"
"276","p[1]","X2.5.",0.229688138545506,"3","2.RDS","a"
"277","p[1]","X25.",0.613386470710491,"3","2.RDS","a"
"278","p[1]","X50.",0.93129753534798,"3","2.RDS","a"
"279","p[1]","X75.",1.21333072872788,"3","2.RDS","a"
"280","p[1]","X97.5.",1.81082063888748,"3","2.RDS","a"
"281","p[2]","X2.5.",0.388498652583426,"3","2.RDS","k"
"282","p[2]","X25.",1.02350390932089,"3","2.RDS","k"
"283","p[2]","X50.",1.46998028574393,"3","2.RDS","k"
"284","p[2]","X75.",2.01476122300001,"3","2.RDS","k"
"285","p[2]","X97.5.",3.48056204833107,"3","2.RDS","k"
"286","p[3]","X2.5.",0.238834589858918,"3","2.RDS","l"
"287","p[3]","X25.",0.399728632458667,"3","2.RDS","l"
"288","p[3]","X50.",0.506605251101539,"3","2.RDS","l"
"289","p[3]","X75.",0.631002396240019,"3","2.RDS","l"
"290","p[3]","X97.5.",0.935723730112232,"3","2.RDS","l"
"291","p[4]","X2.5.",0.422004827554574,"3","2.RDS","death1"
"292","p[4]","X25.",0.713742962535943,"3","2.RDS","death1"
"293","p[4]","X50.",0.947737200352618,"3","2.RDS","death1"
"294","p[4]","X75.",1.26252054915843,"3","2.RDS","death1"
"295","p[4]","X97.5.",2.12490458514151,"3","2.RDS","death1"
"296","p[5]","X2.5.",1.23958276949445,"3","2.RDS","f"
"297","p[5]","X25.",1.77333828080421,"3","2.RDS","f"
"298","p[5]","X50.",2.19970416854598,"3","2.RDS","f"
"299","p[5]","X75.",2.80777762489391,"3","2.RDS","f"
"300","p[5]","X97.5.",4.76226245219712,"3","2.RDS","f"
"301","p[1]","X2.5.",0.0502129820361848,"3","3.RDS","a"
"302","p[1]","X25.",0.0715146899807829,"3","3.RDS","a"
"303","p[1]","X50.",0.0864346884201851,"3","3.RDS","a"
"304","p[1]","X75.",0.106464550166455,"3","3.RDS","a"
"305","p[1]","X97.5.",0.155516689063863,"3","3.RDS","a"
"306","p[2]","X2.5.",0.12139928523094,"3","3.RDS","k"
"307","p[2]","X25.",0.195909396555234,"3","3.RDS","k"
"308","p[2]","X50.",0.249726905995883,"3","3.RDS","k"
"309","p[2]","X75.",0.322885886411043,"3","3.RDS","k"
"310","p[2]","X97.5.",0.512225743650512,"3","3.RDS","k"
"311","p[3]","X2.5.",0.0324551860571349,"3","3.RDS","l"
"312","p[3]","X25.",0.0398428801614882,"3","3.RDS","l"
"313","p[3]","X50.",0.0445180785387854,"3","3.RDS","l"
"314","p[3]","X75.",0.0492348168917763,"3","3.RDS","l"
