Month,Day,Date,treatment,blank_chl,rep,adult_only,time,chl_1,chl_2,water_removed,algae_added,water_added,size_class,clutch,clutch_size,observer,temp,NOTES
Sept,4,Sept_4,3,-0.312,1A,Y,14:45,,3.748,,0.5,,,,,JW,22.1,
Sept,5,Sept_5,3,0.218,1,N,8:51,1.75,3.697,,0.5,7,J,N,,JW,21.9,
Sept,6,Sept_6,3,0.325,1,N,10:25,1.349,3.69,,0.5,,J,N,,JW,22.2,
Sept,7,Sept_7,3,-0.097,1,N,9:51,2.55,3.2,,0.25,,J,N,,JW,21.3,
Sept,8,Sept_8,3,0.023,1,N,11:22,2.514,3.983,,0.25,3,J,N,,JW,21,
Sept,9,Sept_9,3,0.777,1,N,10:59,1.709,3.756,,0.5,,A,N,,JW,21.1,
Sept,10,Sept_10,3,-0.096,1,N,8:55,1.855,3.039,,0.25,6,A,N,,JW,21,
Sept,11,Sept_11,3,-0.007,1,N,8:24,1.544,3.314,,0.25,,A,N,,JW,21.4,
Sept,12,Sept_12,3,0.126,1,N,12:40,1.451,2.844,,0.5,6,A,N,,AC,22.1,
Sept,13,Sept_13,3,-0.333,1,N,9:52,1.292,3.705,,0.5,5,A,N,,JH,21.9,
Sept,14,Sept_14,3,-0.251,1,N,9:44,1.093,3.36,,,,A,Y,9,JW,22.1,
Sept,15,Sept_15,3,0.55,1,N,11:01,1.239,3.571,,0.75,10,A,N,,JW,22.6,
Sept,16,Sept_16,3,0.524,1,N,10:30,1.409,2.723,,0.25,,A,N,,JW,22.5,
Sept,17,Sept_17,3,-0.051,1,N,8:14,1.183,2.971,,0.5,10,A,Y,5,JW,22.4,
Sept,18,Sept_18,3,-0.094,1,N,8:22,1.08,4.196,15,0.5,20,A,N,,JW,22.4,
Sept,19,Sept_19,3,-0.118,1,N,12:57,2.296,2.919,,0.25,,A,N,,AC,22.9,
Sept,20,Sept_20,3,0.451,1,N,9:50,1.928,3.055,,0.25,,A,N,,JH,22.5,
Sept,21,Sept_21,3,-0.049,1,N,9:50,1.099,4.164,,0.25,,A,N,,JW,22.3,
Sept,22,Sept_22,3,0.923,1,N,13:42,2.069,2.708,,0.25,,A,N,,JW,22.3,
Sept,23,Sept_23,3,-0.234,1,N,13:26,1.966,4.219,,0.5,9,A,N,,JW,21.7,
Sept,24,Sept_24,3,-0.303,1,N,10:05,1.149,3.397,,0.25,,A,N,,JW,21.9,
Sept,25,Sept_25,3,0.248,1,N,10:18,0.594,2.998,,0.5,6,A,N,,JW,21.9,
Sept,26,Sept_26,3,0.111,1,N,12:57,2.862,,,,,A,N,,AC,21.7,
Sept,27,Sept_27,3,0.104,1,N,10:50,0.956,4.104,,1,15,A,N,,JH,22.2,
Sept,28,Sept_28,3,0.312,1,N,9:42,0.769,3.069,,0.5,,A,N,,JW,22.2,
Sept,29,Sept_29,3,-0.018,1,N,13:21,2.955,,,,,A,Y,1,JW,21.5,
Sept,30,Sept_30,3,0.065,1,N,12:43,2.688,4.633,10,0.25,10,A,N,,JW,21.7,
Sept,4,Sept_4,9,-0.312,2A,Y,14:45,,9.497,,2,,A,N,,JW,22,
Sept,5,Sept_5,9,0.218,2A,Y,8:58,1.791,10.52,,2,12,A,N,,JW,21.7,
Sept,6,Sept_6,9,0.325,2A,Y,10:27,2.058,9.487,,1.5,,A,N,,JW,22,
Sept,7,Sept_7,9,-0.097,2A,Y,9:53,3.821,9.224,,1,,A,N,,JW,21.2,
Sept,8,Sept_8,9,0.023,2A,Y,11:30,4.061,8.924,,1.5,,A,N,,JW,20.8,
Sept,9,Sept_9,9,0.777,2A,Y,11:00,2.593,9.27,,2,,A,N,,JW,21,
Sept,10,Sept_10,9,-0.096,2A,Y,9:00,3.344,9.742,,1.5,,A,N,,JW,20.8,
Sept,11,Sept_11,9,-0.007,2A,Y,8:26,1.775,11.12,,2,,A,N,,JW,21.2,
Sept,12,Sept_12,9,0.126,2,N,12:47,1.55,8.937,,1.5,,J,N,,AC,21.9,
Sept,13,Sept_13,9,-0.333,2,N,9:59,6.217,10.71,,0.5,6,J,N,,JH,21.9,
Sept,14,Sept_14,9,-0.251,2,N,9:50,4.713,11.5,8,1,8,J,N,,JW,22.1,
Sept,15,Sept_15,9,0.55,2,N,11:06,2.402,8.507,,1,,J,N,,JW,202.3,
Sept,16,Sept_16,9,0.524,2,N,10:34,8.047,9.717,,0.5,,A,N,,JW,22.4,
Sept,17,Sept_17,9,-0.051,2,N,8:21,3.055,8.469,,1.5,4,A,N,,JW,22.3,
Sept,18,Sept_18,9,-0.094,2,N,8:28,1.513,9.793,,0.75,,A,N,,JW,22.4,
Sept,19,Sept_19,9,-0.118,2,N,13:01,1.459,9.25,,1.5,,A,N,,AC,22,
Sept,20,Sept_20,9,0.451,2,N,9:52,2.279,8.775,,2,6,A,N,,JH,22.3,
Sept,21,Sept_21,9,-0.049,2,N,9:53,1.429,8.95,,0.75,,A,Y,10,JW,22.2,
Sept,22,Sept_22,9,0.923,2,N,13:45,1.563,8.723,,1.5,4,A,N,,JW,22.1,
Sept,23,Sept_23,9,-0.234,2,N,13:28,2.455,9.492,,1.75,,A,N,,JW,21.5,
Sept,24,Sept_24,9,-0.303,2,N,10:07,3.176,11.6,,1.5,10,A,Y,7,JW,21.9,
Sept,25,Sept_25,9,0.248,2,N,10:20,1.228,8.676,,2,,A,N,,JW,21.8,
Sept,26,Sept_26,9,0.111,2,N,12:59,4.642,9.943,,1,,A,N,,AC,21.7,
Sept,27,Sept_27,9,0.104,2,N,10:57,2.154,9.46,,1.5,,A,Y,5,JH,22.2,
Sept,28,Sept_28,9,0.312,2,N,9:44,2.99,10.56,,1.5,,A,N,,JW,22.2,
Sept,29,Sept_29,9,-0.018,2,N,13:24,8.064,12.02,,0.25,,A,N,,JW,21.4,
Sept,30,Sept_30,9,0.065,2,N,12:49,11.29,,,,,A,Y,8,JW,21.6,
