Authors,Title,Genus,species,Replicates,Temp,Max_filtering,sd_filtering,CI_filtering_upper,CI_filtering_low,units,half_saturation food density,half_sat_sd,half_sat_units,,algal_conc,daphnia_size,Excretion rate,exc_rate_mg_per_ind_day,sd_error_excretion,units_excretion,daphnia_reproduction,sd_repro,units_reproduction,daphnia_growth,sd_growth,95_growth,units_growth,daphnia_survival,sd_survival,95CI,range,units_survival,food_type,ammoium conc,units,nitrogen removal,units,max_ammonium_uptake,max_uptake_mg_day,max_uptake_units,max_uptake_sd,half_sat_amm,units,half_sat_mg_N_L ,sd_half_sat,range_half_sat,nitrogen removal,units,sd,death_rate,units_death,algal_death_per_day,95_conf_death,sd_death,range_death,growth_rate,units,sd,range,time_period(days),fit_method,nitrification,units,convert_mg_N_day,sd,range,75 quartile,N_conversion efficiency,Notes
Abou-Waly et al 1991,"Growth Response of Freshwater Algae, Anabaena flosquae and Selenastrum capricornutum to Atrazine and Hexazinone Herbicides",Selenestrum,capricornitum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,chla*day^-1,,,1,log transformed linear regression,,,,,,,,days 0-1
Abou-Waly et al 1992,"Growth Response of Freshwater Algae, Anabaena flosquae and Selenastrum capricornutum to Atrazine and Hexazinone Herbicides",Selenestrum,capricornitum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,chla*day^-2,,,3,log transformed linear regression,,,,,,,,days 0-3
Abou-Waly et al 1993,"Growth Response of Freshwater Algae, Anabaena flosquae and Selenastrum capricornutum to Atrazine and Hexazinone Herbicides",Selenestrum,capricornitum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.634,chla*day^-3,,,5,log transformed linear regression,,,,,,,,days 0-5
Abou-Waly et al 1994,"Growth Response of Freshwater Algae, Anabaena flosquae and Selenastrum capricornutum to Atrazine and Hexazinone Herbicides",Selenestrum,capricornitum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556,chla*day^-4,,,7,log transformed linear regression,,,,,,,,days 0-7
Abou-Waly et al 1995,"Growth Response of Freshwater Algae, Anabaena flosquae and Selenastrum capricornutum to Atrazine and Hexazinone Herbicides",Selenestrum,capricornitum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.139,chla*day^-5,,,1,log transformed linear regression,,,,,,,,days 0-1
Abou-Waly et al 1996,"Growth Response of Freshwater Algae, Anabaena flosquae and Selenastrum capricornutum to Atrazine and Hexazinone Herbicides",Selenestrum,capricornitum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.924,chla*day^-6,,,3,log transformed linear regression,,,,,,,,days 0-3
Abou-Waly et al 1997,"Growth Response of Freshwater Algae, Anabaena flosquae and Selenastrum capricornutum to Atrazine and Hexazinone Herbicides",Selenestrum,capricornitum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.632,chla*day^-7,,,5,log transformed linear regression,,,,,,,,days 0-5
Abou-Waly et al 1998,"Growth Response of Freshwater Algae, Anabaena flosquae and Selenastrum capricornutum to Atrazine and Hexazinone Herbicides",Selenestrum,capricornitum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505,chla*day^-8,,,7,log transformed linear regression,,,,,,,,days 0-7
Barbosa et al 2003,Overcoming Shear Stress of Microalgae cultures in sparged photobioreactors,Dunaliella,tertiolecta,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,cell conc/hour,,0.06,,,,,,,,"first order death rate, linear regression",,,,,,,,marine species
Barbosa et al 2004,Overcoming Shear Stress of Microalgae cultures in sparged photobioreactors,Dunaliella,tertiolecta,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,cell conc/hour,,0.11,,,,,,,,,,,,,,,,marine species
